ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
8IH,8I Holdings Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,13.93%,14.21%
8IH,8I Holdings Ltd,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,"6,317,021.00","10,737,875.00"
8IH,8I Holdings Ltd,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,"4,753,734.00","18,178,236.00"
8IH,8I Holdings Ltd,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"32,384,066.00","34,768,221.00","51,865,950.00"
8IH,8I Holdings Ltd,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"34,835,148.00","38,366,132.00","59,076,793.00"
AAB,Absolute Return Fund (The),Annual Ratio Analysis - ROE, , , , , , , , , , , , , ,6.92%,13.92%, , , , , , , , , , , , 
AAB,Absolute Return Fund (The),Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , ,--,--, , , , , , , , , , , , 
AAB,Absolute Return Fund (The),Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , ,"366,541.00","4,874,000.00", , , , , , , , , , , , 
AAB,Absolute Return Fund (The),Annual Balance Sheet - Total Equity, , , , , , , , , , , , , ,"5,294,552.00","35,010,000.00", , , , , , , , , , , , 
AAB,Absolute Return Fund (The),Annual Balance Sheet - Total Assets, , , , , , , , , , , , , ,"6,517,961.00","42,480,000.00", , , , , , , , , , , , 
ABW,Aurora Absolute Return Fund,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , ,--,--,--,--,--,--,--,--,-1.60%, 
ABW,Aurora Absolute Return Fund,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , ,--,--,--,--,--,--,--,--,--, 
ABW,Aurora Absolute Return Fund,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , ,0.00,0.00,"-786,902.00","1,031,014.00","796,432.00","355,936.00","380,145.00","338,071.00","-332,018.00", 
ABW,Aurora Absolute Return Fund,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , ,--,--,--,--,--,--,--,--,"20,736,201.00", 
ABW,Aurora Absolute Return Fund,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , ,"19,648,680.00","20,605,447.00","8,525,018.00","8,469,524.00","6,328,708.00","7,846,141.00","10,046,902.00","24,794,095.00","21,354,051.00", 
ACQ,Acorn Capital Investment Fund Limited ,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.93%,-6.32%, 
ACQ,Acorn Capital Investment Fund Limited ,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,--, 
ACQ,Acorn Capital Investment Fund Limited ,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,"464,000.00","-2,958,000.00", 
ACQ,Acorn Capital Investment Fund Limited ,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"49,730,000.00","46,772,000.00", 
ACQ,Acorn Capital Investment Fund Limited ,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"51,964,000.00","47,510,000.00", 
