ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABV,Advanced Braking Technology Ltd,Annual Balance Sheet - Total Equity, , , , , , , , , , , ,"15,137,902.00","12,167,486.00","9,816,000.00","-4,437,000.00","-7,012,000.00","4,087,000.00","5,296,000.00","5,342,000.00","5,442,000.00","4,129,000.00","7,697,000.00","9,648,000.00","9,103,000.00","3,442,000.00","1,338,000.00"
ABV,Advanced Braking Technology Ltd,Annual Balance Sheet - Total Assets, , , , , , , , , , , ,"18,998,747.00","12,666,648.00","12,533,000.00","1,751,000.00","2,968,000.00","6,495,000.00","6,032,000.00","7,642,000.00","6,871,000.00","5,319,000.00","9,096,000.00","11,604,000.00","11,056,000.00","7,935,000.00","5,691,000.00"
ABV,Advanced Braking Technology Ltd,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , ,--,"250,100.00","261,000.00","251,000.00","760,000.00","1,436,000.00","2,553,000.00","4,422,000.00","3,526,000.00","4,549,000.00","6,631,000.00","7,085,000.00","5,978,000.00","4,451,000.00","5,860,000.00"
ABV,Advanced Braking Technology Ltd,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , ,0.00,"-1,725,553.00","-7,821,000.00","-14,305,000.00","-4,490,000.00","-1,850,000.00","-1,939,000.00","-1,029,000.00","-1,946,000.00","-1,266,000.00","550,000.00","-123,000.00","-920,000.00","-7,543,000.00","-2,758,000.00"
ABV,Advanced Braking Technology Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , ,0.00%,-14.18%,-79.68%,0.00%,64.03%,-45.27%,-36.61%,-19.26%,-35.76%,-30.66%,5.31%,-1.27%,-10.11%,-219.15%,-160.69%
AIE,Autodom Limited,Annual Balance Sheet - Total Equity,"-4,869,000.00","-7,064,000.00","-6,599,000.00","-6,951,000.00","4,343,000.00","8,795,000.00","9,741,909.00","11,370,486.00","12,218,304.00","17,499,311.00","21,089,783.00","21,701,020.00","19,181,353.00","20,956,874.00","25,826,594.00","25,944,662.00","31,009,563.00","21,906,153.00","14,580,120.00","15,833,771.00","14,214,942.00","10,116,860.00","6,008,318.00", , , 
AIE,Autodom Limited,Annual Balance Sheet - Total Assets,"9,555,000.00","7,819,000.00","4,123,000.00","2,796,000.00","11,795,000.00","16,666,000.00","18,246,309.00","20,965,826.00","22,800,537.00","31,614,882.00","65,342,182.00","80,680,457.00","58,550,713.00","70,472,085.00","65,951,488.00","58,612,614.00","65,012,287.00","44,494,545.00","58,363,173.00","48,332,866.00","45,843,213.00","48,396,065.00","35,021,065.00", , , 
AIE,Autodom Limited,Annual Profit and Loss - Operating Revenue,"7,135,000.00","7,836,000.00","4,384,000.00","4,117,000.00","5,443,000.00","18,496,000.00","19,826,920.00","20,163,810.00","24,908,008.00","28,527,024.00","74,713,817.00","94,569,000.00","126,084,542.00","165,819,523.00","189,104,383.00","127,634,844.00","136,523,963.00","70,146,820.00","86,035,965.00","87,921,359.00","75,079,833.00","94,411,113.00","88,512,702.00", , , 
AIE,Autodom Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-2,465,000.00","-1,511,000.00","502,000.00","-773,000.00","-73,000.00","1,828,000.00","756,614.00","625,853.00","2,175,413.00","363,356.00","1,416,172.00","-4,031,366.00","-2,360,341.00","2,066,951.00","4,906,086.00","2,781,974.00","4,330,910.00","3,653,129.00","-7,320,774.00","1,253,702.00","-1,618,829.00","-6,068,191.00","-4,108,542.00", , , 
AIE,Autodom Limited,Annual Ratio Analysis - ROE,54.24%,21.39%,-4.92%,-2.96%,-1.68%,19.22%,7.83%,6.14%,11.88%,0.11%,8.09%,-18.45%,-30.50%,10.96%,4.79%,10.29%,16.72%,-7.57%,-63.33%,10.79%,-5.72%,-55.33%,-68.38%, , , 
