ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AAT,AAT Corporation Limited,Annual Ratio Analysis - ROE,21.31%,0.82%,-12.01%,-8.10%,23.05%,17.04%,1.21%,-5.37%,-26.70%,32.25%,16.83%,27.98%,-10.58%,6.60%,13.01%,8.79%,-6.09%,-527.30%,114.07%,-86.35%, , ,2.78%,18.10%,300.48%,71.57%
AAT,AAT Corporation Limited,Annual Profit and Loss - Operating Revenue,"24,414,000.00","16,764,000.00","17,252,000.00","18,017,000.00","20,315,000.00","23,104,000.00","21,939,256.00","23,945,000.00","16,846,908.00","35,176,236.00","50,008,114.00","170,226,000.00","152,893,000.00","169,341,000.00","197,553,000.00","195,503,000.00","262,846,000.00","21,867,000.00","241,352,000.00","371,434,000.00", , ,0.00,--,0.00,0.00
AAT,AAT Corporation Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"1,970,000.00","29,000.00","-1,317,000.00","-719,000.00","1,687,000.00","1,612,000.00","981,936.00","-334,000.00","-930,193.00","4,208,014.00","5,792,350.00","14,022,000.00","-16,973,000.00","11,452,000.00","14,768,000.00","3,427,000.00","-4,607,000.00","-97,746,000.00","11,496,000.00","-8,318,000.00", , ,"14,718,680.00","-729,527.00","3,241,307.00","-257,123.00"
AAT,AAT Corporation Limited,Annual Balance Sheet - Total Equity,"8,805,000.00","8,791,000.00","7,017,000.00","5,832,000.00","6,850,000.00","7,382,000.00","6,779,765.00","6,598,000.00","5,177,569.00","12,900,772.00","35,141,920.00","67,474,000.00","49,220,000.00","80,953,000.00","96,464,000.00","91,592,000.00","93,320,000.00","4,996,000.00","23,730,000.00","22,839,000.00", , ,"-3,297,977.00","-4,031,169.00","-107,807.00","-364,930.00"
AAT,AAT Corporation Limited,Annual Balance Sheet - Total Assets,"14,427,000.00","12,649,000.00","13,252,000.00","12,451,000.00","15,181,000.00","14,347,000.00","11,634,728.00","12,336,000.00","8,721,865.00","26,681,919.00","65,987,044.00","119,874,000.00","133,102,000.00","170,564,000.00","239,481,000.00","267,760,000.00","297,851,000.00","62,282,000.00","117,271,000.00","134,011,000.00", , ,"44,315.00","3,148.00","76,696.00","337,681.00"
AMO,Ambertech Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,18.66%,8.81%,13.83%,16.26%,8.89%,8.01%,0.63%,-4.71%,0.11%,-20.63%,-15.69%
AMO,Ambertech Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , ,"52,916,000.00","51,465,000.00","59,842,000.00","69,642,000.00","71,526,000.00","66,188,000.00","66,683,000.00","51,355,000.00","54,417,000.00","48,256,000.00","50,135,000.00"
AMO,Ambertech Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , ,"3,124,000.00","1,486,000.00","2,575,000.00","3,179,000.00","1,806,000.00","1,606,000.00","126,000.00","-4,693,000.00","-2,212,000.00","-1,000,000.00","-1,654,000.00"
AMO,Ambertech Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , ,"16,739,000.00","16,868,000.00","18,621,000.00","19,554,000.00","20,312,000.00","20,057,000.00","19,982,000.00","15,305,000.00","13,157,000.00","12,239,000.00","10,539,000.00"
AMO,Ambertech Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"27,420,000.00","30,889,000.00","29,510,000.00","32,974,000.00","32,653,000.00","31,639,000.00","34,459,000.00","25,461,000.00","28,878,000.00","26,511,000.00","26,280,000.00"
ASU,Alpha Technologies Corporation Limited,Annual Ratio Analysis - ROE,-284.42%,-15.51%,-21.22%,-62.51%,-64.69%,0.05%,-13.25%,-82.10%,-12.85%,-37.28%,-17.36%,-81.94%,"-1,019.04%",-18.97%,191.01%,48.63%,49.13%,9.61%,10.80%,-225.19%, , , , , , 
