ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AAX,Ausenco Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,0.00%,43.26%,74.13%,31.81%,10.41%,-4.55%,10.42%,15.10%,-13.77%,-3.62%,-32.99%, 
AAX,Ausenco Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , ,--,"144,166,000.00","353,841,000.00","604,711,000.00","429,396,000.00","510,322,000.00","547,455,000.00","632,220,000.00","453,247,000.00","356,443,000.00","245,468,000.00", 
AAX,Ausenco Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , ,0.00,"13,421,000.00","41,502,000.00","56,269,000.00","20,142,000.00","-10,652,000.00","26,354,000.00","41,395,000.00","-35,200,000.00","-25,015,000.00","-86,055,000.00", 
AAX,Ausenco Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , ,"19,332,000.00","31,023,000.00","55,988,000.00","181,920,000.00","259,724,000.00","233,897,000.00","252,798,000.00","274,188,000.00","258,461,000.00","226,773,000.00","149,818,000.00", 
AAX,Ausenco Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"40,489,000.00","67,108,000.00","178,934,000.00","463,677,000.00","423,665,000.00","406,316,000.00","457,047,000.00","457,695,000.00","408,059,000.00","352,589,000.00","267,645,000.00", 
ABG,Abigroup Limited,Annual Ratio Analysis - ROE,17.72%,137.61%,4.82%,32.52%,34.12%,47.38%,68.08%,58.90%,41.24%,31.49%,24.89%,17.12%,6.33%,10.85%, , , , , , , , , , , , , 
ABG,Abigroup Limited,Annual Profit and Loss - Operating Revenue,"206,500,000.00","209,851,000.00","164,353,000.00","159,834,000.00","216,432,000.00","307,333,000.00","349,726,000.00","459,652,992.00","547,388,032.00","695,427,008.00","692,594,000.00","743,079,000.00","579,362,000.00","744,028,000.00", , , , , , , , , , , , , 
ABG,Abigroup Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-2,497,000.00","383,000.00","274,000.00","298,000.00","1,151,000.00","3,139,000.00","11,650,000.00","17,251,000.00","16,557,000.00","15,935,000.00","14,462,000.00","18,238,000.00","7,347,000.00","6,425,000.00", , , , , , , , , , , , , 
ABG,Abigroup Limited,Annual Balance Sheet - Total Equity,"5,023,000.00","5,406,000.00","5,680,000.00","5,059,000.00","6,887,000.00","8,708,000.00","17,377,000.00","29,238,000.00","40,541,000.00","50,854,000.00","58,165,000.00","106,683,000.00","114,464,000.00","122,944,000.00", , , , , , , , , , , , , 
ABG,Abigroup Limited,Annual Balance Sheet - Total Assets,"99,700,000.00","107,529,000.00","81,677,000.00","79,964,000.00","86,489,000.00","121,042,000.00","164,950,000.00","188,818,000.00","211,357,000.00","220,181,000.00","314,225,000.00","344,209,000.00","318,643,000.00","394,683,000.00", , , , , , , , , , , , , 
ADQ,ADG Global Supply Limited,Annual Ratio Analysis - ROE, , , , , , , , , ,10.92%,4.08%,11.75%,7.82%,6.30%,3.84%,4.27%,-32.97%,452.61%,31.55%,-1.50%,-11.07%,4.48%,9.57%,-5.04%,-360.11%,4.75%, 
ADQ,ADG Global Supply Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , ,"35,661,088.00","46,632,824.00","54,080,865.00","48,691,222.00","46,048,046.00","39,673,638.00","40,093,036.00","35,209,912.00","4,405,797.00","12,261,311.00","47,415,069.00","35,886,712.00","52,215,837.00","83,682,000.00","79,374,000.00","37,015,000.00","21,868,000.00", 
ADQ,ADG Global Supply Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , ,"1,306,290.00","559,000.00","-1,631,703.00","-3,904,885.00","774,014.00","523,671.00","671,107.00","-3,740,779.00","-16,616,642.00","1,825,351.00","-6,386,700.00","-1,075,036.00","724,608.00","1,752,000.00","-1,031,000.00","-18,009,000.00","-10,640,000.00", 
ADQ,ADG Global Supply Limited,Annual Balance Sheet - Total Equity, , , , , , , , , ,"11,958,140.00","13,696,011.00","15,010,807.00","11,468,135.00","12,294,170.00","13,633,156.00","15,726,976.00","11,347,471.00","-2,068,158.00","14,527,159.00","8,161,213.00","9,707,072.00","16,180,607.00","18,315,000.00","20,447,000.00","2,830,000.00","-8,174,000.00", 
ADQ,ADG Global Supply Limited,Annual Balance Sheet - Total Assets, , , , , , , , , ,"28,222,082.00","46,145,601.00","41,289,871.00","34,818,746.00","32,962,464.00","31,939,668.00","34,631,911.00","29,352,590.00","7,244,765.00","38,515,001.00","23,374,295.00","21,687,328.00","28,831,605.00","41,602,000.00","37,340,000.00","16,867,000.00",--, 
AEH1,Aerosonde Holdings Limited,Annual Ratio Analysis - ROE, , , , , , , ,-11.64%,-12.30%,-19.73%,-20.63%,-575.81%, , , , , , , , , , , , , , , 
AEH1,Aerosonde Holdings Limited,Annual Profit and Loss - Operating Revenue, , , , , , , ,--,--,--,--,0.00, , , , , , , , , , , , , , , 
AEH1,Aerosonde Holdings Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , ,"-719,451.00","-824,292.00","-2,175,720.00","-1,492,854.00","-4,753,002.00", , , , , , , , , , , , , , , 
AEH1,Aerosonde Holdings Limited,Annual Balance Sheet - Total Equity, , , , , , , ,"6,180,045.00","6,702,624.00","4,558,551.00","4,921,005.00","168,003.00", , , , , , , , , , , , , , , 
AEH1,Aerosonde Holdings Limited,Annual Balance Sheet - Total Assets, , , , , , , ,"6,446,272.00","6,787,546.00","4,597,895.00","4,959,967.00","1,677,510.00", , , , , , , , , , , , , , , 
AET,Ausmelt Limited,Annual Ratio Analysis - ROE, , , ,56.29%,14.90%,5.53%,-67.96%,-223.42%,-53.23%,-78.20%,-0.25%,11.38%,14.10%,-1.56%,12.34%,-61.89%,28.55%,25.00%,28.17%,538.99%, , , , , , , 
AET,Ausmelt Limited,Annual Profit and Loss - Operating Revenue, , , ,"3,546,000.00","4,772,000.00","9,905,000.00","7,641,336.00","5,689,917.00","6,619,704.00","3,721,147.00","7,277,392.00","8,938,384.00","13,641,962.00","12,538,378.00","11,675,237.00","9,366,369.00","13,551,531.00","19,421,999.00","18,130,112.00","18,395,417.00", , , , , , , 
AET,Ausmelt Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , ,"634,000.00","670,000.00","265,000.00","-3,165,223.00","-3,274,943.00","-1,230,177.00","-801,443.00","5,703,314.00","2,071,170.00","1,437,694.00","-162,414.00","1,470,321.00","-4,259,019.00","2,842,833.00","3,051,705.00","4,349,648.00","-13,205,887.00", , , , , , , 
