ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AAG,Aragon Resources Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,-7.57%,-28.83%,-8.74%, , , , , , 
AAG,Aragon Resources Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00, , , , , , 
AAG,Aragon Resources Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , ,"-711,419.00","-2,525,240.00","-2,346,174.00", , , , , , 
AAG,Aragon Resources Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , ,"9,392,281.00","8,758,713.00","26,844,651.00", , , , , , 
AAG,Aragon Resources Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"10,178,962.00","9,036,014.00","31,650,261.00", , , , , , 
AAI,Alcoa Inc.,Annual Ratio Analysis - ROE, , , , , , , , ,14.09%,33.36%,12.99%,11.90%,6.50%,7.54%,9.83%,9.19%,14.76%,16.87%,9.94%,-6.02%,3.43%,6.45%,2.09%,2.15%,9.44%,3.69%, 
AAI,Alcoa Inc.,Annual Profit and Loss - Operating Revenue, , , , , , , , ,"40,703,344,236.00","24,966,350,565.00","74,730,545,165.00","44,768,899,334.00","35,787,707,523.00","29,037,333,333.00","39,504,893,517.00","48,594,162,284.00","38,391,254,897.00","34,877,495,462.00","38,812,066,974.00","20,558,590,701.00","20,675,981,501.00","24,567,743,205.00","22,823,574,730.00","25,739,830,129.00","29,146,549,622.00","30,843,142,622.00", 
AAI,Alcoa Inc.,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , ,"1,777,162,404.00","1,982,257,571.00","3,375,451,263.00","2,185,663,924.00","980,219,003.00","1,558,666,666.00","2,005,675,222.00","2,771,607,864.00","3,391,886,768.00","3,322,368,421.00","212,182,448.00","-1,215,297,134.00","385,712,880.00","792,634,895.00","156,009,244.00","-2,507,822,977.00","215,801,024.00","-269,641,390.00", 
AAI,Alcoa Inc.,Annual Balance Sheet - Total Equity, , , , , , , , ,"12,268,936,308.00","11,893,545,426.00","23,350,180,505.00","23,358,793,576.00","19,816,319,321.00","17,886,666,666.00","18,981,039,597.00","27,377,987,069.00","20,764,564,640.00","20,957,350,272.00","20,687,066,974.00","17,348,645,333.00","16,811,964,970.00","16,930,878,298.00","15,911,979,969.00","15,111,756,817.00","18,037,064,130.00","19,341,637,010.00", 
AAI,Alcoa Inc.,Annual Balance Sheet - Total Assets, , , , , , , , ,"32,699,951,132.00","15,243,193,637.00","57,203,971,119.00","55,532,706,619.00","52,649,240,551.00","42,281,333,333.00","42,059,847,800.00","62,595,240,350.00","46,989,763,680.00","44,014,292,196.00","54,592,956,120.00","42,894,414,092.00","38,662,796,418.00","39,503,741,630.00","38,693,181,818.00","39,944,121,591.00","45,597,415,264.00","49,997,262,523.00", 
AAJ,Aruma Resources Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , ,0.00%,-44.15%,-55.76%,-54.11%,-46.14%,-180.32%, 
AAJ,Aruma Resources Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , ,--,"34,006.00",0.00,0.00,0.00,0.00, 
AAJ,Aruma Resources Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , ,0.00,"-1,475,559.00","-1,553,066.00","-1,832,197.00","-1,244,175.00","-1,821,132.00", 
AAJ,Aruma Resources Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , ,"4,769,946.00","3,341,989.00","2,785,491.00","3,386,315.00","2,696,590.00","1,009,921.00", 
AAJ,Aruma Resources Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , ,"4,830,740.00","3,497,716.00","2,961,100.00","3,784,686.00","2,880,346.00","1,192,301.00", 
AAR,Anglo Australian Resources NL,Annual Ratio Analysis - ROE,-61.63%,-97.43%,-28.28%,-22.51%,-26.20%,-32.34%,-17.48%,-9.82%,-82.62%,-173.86%,-115.63%,-62.34%,-46.14%,-81.18%,-12.00%,-64.15%,-10.13%,49.48%,0.31%,-7.82%,-7.95%,-6.28%,-140.70%,-26.93%,-12.57%,-417.34%, 
AAR,Anglo Australian Resources NL,Annual Profit and Loss - Operating Revenue,"344,000.00",0.00,0.00,0.00,0.00,0.00,0.00,--,0.00,0.00,--,"2,990.00",--,"2,094.00","8,943.00","7,250.00",0.00,"10,199,144.00","6,822,897.00",0.00,"265,308.00","8,605.00","15,297.00",--,0.00,--, 
AAR,Anglo Australian Resources NL,Annual Profit and Loss - Reported NPAT After Abnorma,"-1,351,000.00","-1,175,000.00","-425,000.00","-425,000.00","-688,000.00","-748,000.00","-166,849.00","-430,539.00","-2,163,559.00","-1,865,044.00","-825,579.00","-366,754.00","-670,633.00","-547,183.00","-343,693.00","-1,588,596.00","-528,500.00","5,582,690.00","35,097.00","-823,524.00","-775,571.00","-710,953.00","-7,305,463.00","-1,304,149.00","-604,275.00","-4,680,516.00", 
AAR,Anglo Australian Resources NL,Annual Balance Sheet - Total Equity,"2,192,000.00","1,206,000.00","1,503,000.00","1,888,000.00","2,626,000.00","2,313,000.00","3,739,470.00","4,382,371.00","2,618,813.00","1,067,727.00","713,954.00","588,325.00","520,183.00","674,024.00","2,864,185.00","2,476,443.00","5,215,281.00","11,282,971.00","11,318,068.00","10,527,869.00","9,752,298.00","11,324,178.00","5,192,215.00","4,842,829.00","4,805,597.00","1,121,516.00", 
AAR,Anglo Australian Resources NL,Annual Balance Sheet - Total Assets,"2,245,000.00","1,258,000.00","1,728,000.00","2,202,000.00","2,875,000.00","3,844,000.00","4,129,407.00","4,582,723.00","2,757,134.00","1,265,164.00","950,251.00","888,710.00","623,999.00","831,332.00","2,991,459.00","2,578,155.00","5,613,765.00","12,314,308.00","12,194,971.00","11,132,718.00","10,595,178.00","11,902,315.00","5,526,197.00","5,285,937.00","5,651,035.00","1,747,269.00", 
ABC,Adelaide Brighton Limited,Annual Ratio Analysis - ROE,13.53%,5.44%,1.57%,4.17%,4.81%,6.12%,6.77%,7.97%,3.63%,20.29%,19.61%,6.78%,9.69%,10.20%,11.06%,14.04%,15.01%,17.13%,17.28%,13.77%,16.27%,15.55%,15.34%,14.27%,15.78%,17.15%, 
ABC,Adelaide Brighton Limited,Annual Profit and Loss - Operating Revenue,"178,900,000.00","222,681,000.00","238,368,000.00","281,135,000.00","354,079,000.00","397,882,000.00","404,915,000.00","368,473,000.00","318,224,992.00","313,564,992.00","624,706,000.00","387,801,000.00","486,831,000.00","630,626,000.00","709,526,000.00","717,336,000.00","791,250,000.00","884,500,000.00","1,029,200,000.00","985,000,000.00","1,069,400,000.00","1,096,800,000.00","1,173,200,000.00","1,225,500,000.00","1,335,600,000.00","1,411,000,000.00", 
ABC,Adelaide Brighton Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"29,631,000.00","7,562,000.00","-9,513,000.00","19,214,000.00","26,203,000.00","-24,671,000.00","432,000.00","12,815,000.00","23,512,000.00","-70,069,000.00","35,890,000.00","30,596,000.00","50,708,000.00","58,567,000.00","82,662,000.00","90,956,000.00","102,594,000.00","113,900,000.00","120,800,000.00","123,200,000.00","151,400,000.00","148,400,000.00","154,100,000.00","151,100,000.00","172,600,000.00","207,800,000.00", 
ABC,Adelaide Brighton Limited,Annual Balance Sheet - Total Equity,"227,855,000.00","226,858,000.00","319,473,000.00","460,395,000.00","461,003,000.00","406,719,000.00","334,223,000.00","339,612,000.00","298,322,000.00","426,184,992.00","442,229,000.00","454,044,000.00","525,790,000.00","575,628,000.00","620,783,000.00","633,976,000.00","675,000,000.00","667,900,000.00","701,900,000.00","897,000,000.00","934,300,000.00","957,100,000.00","1,008,100,000.00","1,061,800,000.00","1,136,700,000.00","1,207,300,000.00", 
ABC,Adelaide Brighton Limited,Annual Balance Sheet - Total Assets,"437,136,000.00","590,235,000.00","562,115,000.00","742,248,000.00","751,675,000.00","738,616,000.00","677,776,000.00","674,324,000.00","635,515,992.00","925,579,016.00","865,668,000.00","853,240,000.00","922,992,000.00","1,022,723,000.00","1,033,311,000.00","1,122,018,000.00","1,174,700,000.00","1,239,100,000.00","1,358,100,000.00","1,355,000,000.00","1,331,900,000.00","1,466,200,000.00","1,616,700,000.00","1,633,700,000.00","1,813,300,000.00","1,838,500,000.00", 
ABU,ABM Resources NL,Annual Ratio Analysis - ROE,69.31%,-623.68%,"-2,518.18%",-22.02%,-7.57%,-24.25%,-25.28%,-19.29%,-108.72%,-35.79%,-10.25%,-19.95%,-34.45%,-104.93%,-44.82%,-106.77%,-51.09%,-47.68%,-61.96%,-73.76%,-19.76%,-33.35%,-28.32%,-54.56%,-26.11%,-24.69%, 
ABU,ABM Resources NL,Annual Profit and Loss - Operating Revenue,0.00,0.00,0.00,0.00,0.00,"43,000.00","7,017,583.00","7,076,618.00","3,740,783.00",0.00,0.00,"14,385.00","1,295,867.00","2,163,150.00","478,313.00","280,327.00","406,803.00","49,538.00","52,857.00",0.00,"75,500.00","35,000.00",0.00,0.00,"4,762,061.00",0.00, 
ABU,ABM Resources NL,Annual Profit and Loss - Reported NPAT After Abnorma,"-2,669,000.00","3,318,000.00","465,000.00","-314,000.00","174,000.00","-1,177,000.00","-1,398,826.00","-8,789,267.00","-10,286,724.00","-1,404,479.00","-408,751.00","-1,763,135.00","-2,700,324.00","-4,630,934.00","-2,987,102.00","-4,375,121.00","-3,103,483.00","-2,934,564.00","-4,494,539.00","-4,009,292.00","-30,124,103.00","-9,726,208.00","-11,836,321.00","-15,054,330.00","-8,138,232.00","-11,202,318.00", 
ABU,ABM Resources NL,Annual Balance Sheet - Total Equity,"-3,851,000.00","-532,000.00","11,000.00","1,426,000.00","3,249,000.00","2,656,000.00","5,533,485.00","7,170,973.00","4,496,556.00","3,924,480.00","3,989,154.00","8,839,745.00","7,839,193.00","4,413,221.00","6,665,329.00","4,097,587.00","4,196,613.00","6,154,149.00","7,254,079.00","5,435,441.00","25,303,465.00","29,160,773.00","41,791,628.00","27,591,781.00","31,174,721.00","41,568,699.00", 
ABU,ABM Resources NL,Annual Balance Sheet - Total Assets,"1,990,000.00","441,000.00","184,000.00","1,626,000.00","3,456,000.00","9,498,000.00","14,328,911.00","13,246,437.00","5,206,390.00","4,551,649.00","4,605,241.00","9,971,506.00","10,124,303.00","7,222,931.00","9,531,696.00","6,953,295.00","5,172,433.00","7,311,622.00","8,489,140.00","5,980,999.00","26,434,626.00","30,892,759.00","44,746,664.00","31,557,174.00","34,378,729.00","52,499,998.00", 
ABX,Australian Bauxite Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , ,8.55%,25.94%,-7.64%, , , , ,0.00%,-10.50%,-6.08%,-6.24%,-7.73%,-11.08%,-14.00%,-6.16%, 
ABX,Australian Bauxite Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , ,"34,202,000.00","39,683,000.00","29,008,000.00", , , , ,--,--,8.00,"7,911.00",0.00,0.00,0.00,"7,807.00", 
ABX,Australian Bauxite Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , ,"1,068,000.00","3,960,000.00","-6,633,000.00", , , , ,0.00,"-370,635.00","-834,631.00","-810,483.00","-1,103,697.00","-1,719,014.00","-2,485,723.00","-1,044,658.00", 
