ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1PG,1-Page Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , ,-7.22%,-11.16%,-24.93%,-72.88%,-25.35%,330.95%,27.24%,"-13,094.98%",-28.66%,-84.49%,-29.41%
1PG,1-Page Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , ,--,0.00,--,--,--,--,"32,000.00",20.00,--,"130,214.00","412,629.00"
1PG,1-Page Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , ,"-268,273.00","-382,966.00","-1,068,744.00","-1,793,886.00","-317,107.00","-3,072,600.00","-347,598.00","1,191,905.00","-346,932.00","-11,276,727.00","-19,035,394.00"
1PG,1-Page Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , ,"3,716,624.00","3,432,278.00","4,287,461.00","2,461,298.00","2,144,191.00","-928,409.00","-1,276,007.00","-9,102.00","1,210,306.00","13,264,168.00","63,959,493.00"
1PG,1-Page Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , ,"3,769,871.00","3,690,269.00","4,665,747.00","2,948,281.00","3,179,514.00","777,953.00","748,748.00","132,438.00","1,371,841.00","13,562,466.00","64,980,387.00"
8CO,8Common Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,-2.12%, 
8CO,8Common Ltd,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,0.00, 
8CO,8Common Ltd,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,"-10,851.00", 
8CO,8Common Ltd,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"6,311,861.00","6,565,797.00", 
8CO,8Common Ltd,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"8,016,673.00","9,727,340.00", 
9SP,9 Spokes International Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%
9SP,9 Spokes International Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , , , ,--
9SP,9 Spokes International Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00
9SP,9 Spokes International Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , , , ,"25,893,000.00"
9SP,9 Spokes International Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , , , ,"28,877,000.00"
AAS,Asian Pacific Limited,Annual Ratio Analysis - ROE, , , , , , , , , , ,53.68%,18.44%,-45.54%,34.34%,101.54%,100.54%,71.56%,1.03%, , , , , , , , , 
AAS,Asian Pacific Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , ,"9,490,814.00","10,572,000.00","24,190,000.00","19,616,000.00","27,512,751.00","27,995,000.00","25,876,391.00","21,187,012.00", , , , , , , , , 
AAS,Asian Pacific Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , ,"1,339,900.00","1,926,000.00","-5,071,000.00","1,157,000.00","5,616,891.00","4,687,000.00","2,292,996.00","125,124.00", , , , , , , , , 
AAS,Asian Pacific Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , ,"2,496,172.00","10,445,000.00","2,321,000.00","3,369,000.00","5,531,902.00","4,662,000.00","3,204,261.00","12,139,068.00", , , , , , , , , 
AAS,Asian Pacific Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , ,"4,631,896.00","13,963,000.00","7,460,000.00","5,698,000.00","9,312,261.00","7,408,000.00","5,954,873.00","20,279,974.00", , , , , , , , , 
AB1,Animoca Brands Corporation Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , ,-15.51%,-26.58%,-63.45%,-23.33%,-36.57%,-17.53%,-67.76%,-92.64%,-166.19%, 
AB1,Animoca Brands Corporation Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , ,--,--,0.00,--,--,0.00,0.00,0.00,"7,544,457.00", 
