ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AAP,Australian Agricultural Projects Limited,Annual Ratio Analysis - ROE, , , , ,--,--, ,-5.55%,-15.81%,11.85%,4.51%, , , ,-108.54%,-440.39%,-114.77%,-242.22%,-54.80%,0.78%,7.00%,1.17%,-179.80%,-18.59%,-4.28%,11.23%, 
AAP,Australian Agricultural Projects Limited,Annual Profit and Loss - Operating Revenue, , , , ,"99,191,000.00","203,639,008.00", ,"527,609,984.00","500,284,992.00","750,788,992.00","941,856,000.00", , , ,"279,946.00","1,886,324.00","4,081,390.00","9,896,249.00","8,460,970.00","12,326,693.00","13,749,486.00","17,863,650.00","16,115,170.00","3,269,740.00","1,934,606.00","2,819,652.00", 
AAP,Australian Agricultural Projects Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , ,"3,110,000.00","10,315,000.00", ,"-28,299,000.00","-16,788,000.00","29,532,000.00","38,238,000.00", , , ,"-1,355,382.00","-2,192,517.00","-2,675,732.00","-4,733,843.00","-4,423,980.00","63,425.00","609,611.00","102,418.00","-5,636,661.00","1,924,789.00","-459,963.00","568,280.00", 
AAP,Australian Agricultural Projects Limited,Annual Balance Sheet - Total Equity, , , , ,--,--, ,"106,876,000.00","106,190,000.00","293,293,016.00","349,129,000.00", , , ,"1,298,344.00","505,827.00","2,485,270.00","2,045,985.00","8,072,565.00","8,133,284.00","8,711,102.00","8,765,488.00","3,135,030.00","4,951,425.00","4,491,418.00","5,059,698.00", 
AAP,Australian Agricultural Projects Limited,Annual Balance Sheet - Total Assets, , , , ,--,--, ,"193,208,000.00","341,646,000.00","509,015,000.00","794,319,000.00", , , ,"1,833,658.00","2,091,312.00","5,838,620.00","5,180,668.00","22,934,374.00","22,254,648.00","21,774,642.00","22,722,250.00","18,166,186.00","14,171,354.00","13,133,076.00","13,616,160.00", 
ABB,ABB Grain Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , ,10.45%,12.78%,11.40%,2.62%,2.19%,7.58%,0.81%,4.39%, , , , , , , , 
ABB,ABB Grain Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , ,"753,592,000.00","893,671,000.00","423,367,000.00","776,534,000.00","1,083,791,000.00","1,138,200,000.00","1,509,400,000.00","2,251,600,000.00", , , , , , , , 
ABB,ABB Grain Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , ,"12,800,000.00","14,423,000.00","15,038,000.00","17,141,000.00","17,705,000.00","66,700,000.00","7,300,000.00","48,800,000.00", , , , , , , , 
ABB,ABB Grain Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , ,"122,498,000.00","112,845,000.00","131,970,000.00","797,234,000.00","808,438,000.00","880,100,000.00","899,300,000.00","1,110,900,000.00", , , , , , , , 
ABB,ABB Grain Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , ,"909,012,000.00","416,563,000.00","225,676,000.00","1,267,441,000.00","1,131,658,000.00","1,539,900,000.00","1,971,200,000.00","1,809,700,000.00", , , , , , , , 
AWB,AWB Limited,Annual Ratio Analysis - ROE, , , , , , , , , , ,10.07%,11.16%,13.61%,4.72%,9.28%,11.24%,6.49%,2.45%,8.49%,7.88%,6.00%, , , , , , 
AWB,AWB Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , ,"1,530,015,000.00","1,737,520,000.00","2,100,178,000.00","2,038,636,000.00","5,111,235,000.00","4,703,399,000.00","4,502,648,000.00","4,325,278,000.00","6,501,548,000.00","6,170,552,000.00","5,544,252,000.00", , , , , , 
AWB,AWB Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , ,"63,710,000.00","84,160,000.00","107,829,000.00","44,150,000.00","97,651,000.00","157,410,000.00","58,459,000.00","27,555,000.00","65,323,000.00","-247,970,000.00","-51,056,000.00", , , , , , 
AWB,AWB Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , ,"628,935,000.00","751,019,000.00","789,463,000.00","932,020,000.00","1,046,245,000.00","1,117,449,000.00","1,125,283,000.00","1,111,947,000.00","1,175,729,000.00","904,946,000.00","1,276,626,000.00", , , , , , 
AWB,AWB Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , ,"1,818,876,000.00","1,983,083,000.00","2,626,531,000.00","2,415,943,000.00","3,735,199,000.00","3,279,569,000.00","5,650,153,000.00","5,458,666,000.00","6,604,387,000.00","5,059,182,000.00","2,695,421,000.00", , , , , , 
BHL,Bidvest Plc,Annual Ratio Analysis - ROE,-14.19%,-17.48%,5.68%,1.56%,5.01%,3.97%,0.65%,2.95%,1.85%,5.18%,39.22%,19.77%,21.08%,20.92%, , , , , , , , , , , , , 
BHL,Bidvest Plc,Annual Profit and Loss - Operating Revenue,"111,000,000.00","110,193,000.00","115,394,000.00","115,659,000.00","120,716,000.00","135,472,000.00","170,188,992.00","173,722,000.00","187,536,000.00","150,334,928.00","2,558,393,027.00","2,826,547,321.00","3,482,775,675.00","3,420,480,435.00", , , , , , , , , , , , , 
BHL,Bidvest Plc,Annual Profit and Loss - Reported NPAT After Abnorma,"-3,018,000.00","-3,102,000.00","1,169,000.00","526,000.00","990,000.00","800,000.00","-6,650,000.00","2,019,000.00","532,000.00","2,512,008.00","75,356,296.00","50,210,935.00","56,154,054.00","65,844,477.00", , , , , , , , , , , , , 
BHL,Bidvest Plc,Annual Balance Sheet - Total Equity,"21,272,000.00","18,170,000.00","18,464,000.00","19,216,000.00","19,772,000.00","20,138,000.00","36,230,000.00","66,836,000.00","65,781,000.00","48,481,112.00","192,160,936.00","253,974,465.00","284,410,810.00","314,710,252.00", , , , , , , , , , , , , 
BHL,Bidvest Plc,Annual Balance Sheet - Total Assets,"53,918,000.00","49,613,000.00","50,142,000.00","49,397,000.00","50,943,000.00","53,174,000.00","55,452,000.00","91,102,000.00","87,413,000.00","280,663,815.00","595,191,021.00","896,791,562.00","894,859,459.00","906,154,036.00", , , , , , , , , , , , , 
CGJ,Coles Group Limited,Annual Ratio Analysis - ROE,16.50%,14.09%,11.61%,11.83%,11.93%,16.50%,11.46%,12.64%,14.92%,16.94%,17.41%,9.55%,9.32%,10.86%,13.00%,18.18%,20.12%,18.82%, , , , , , , , , 
CGJ,Coles Group Limited,Annual Profit and Loss - Operating Revenue,"14,721,000,000.00","14,935,600,000.00","15,177,800,000.00","15,168,100,000.00","15,921,400,000.00","16,801,600,000.00","18,175,000,000.00","19,224,800,000.00","20,587,599,872.00","22,438,100,992.00","24,168,000,000.00","24,366,000,000.00","26,339,300,000.00","27,034,300,000.00","32,293,900,000.00","36,462,200,000.00","34,280,300,000.00","34,786,800,000.00", , , , , , , , , 
CGJ,Coles Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"365,100,000.00","368,200,000.00","370,700,000.00","411,800,000.00","424,200,000.00","423,400,000.00","280,400,000.00","389,400,000.00","368,200,000.00","405,300,000.00","300,700,000.00","150,800,000.00","353,800,000.00","429,500,000.00","616,500,000.00","624,500,000.00","1,163,600,000.00","747,800,000.00", , , , , , , , , 
CGJ,Coles Group Limited,Annual Balance Sheet - Total Equity,"2,213,300,000.00","2,501,900,000.00","3,070,300,000.00","3,244,400,000.00","3,374,500,000.00","2,426,600,000.00","2,447,500,000.00","2,516,300,000.00","2,636,599,936.00","2,735,699,968.00","2,778,300,000.00","3,246,300,000.00","3,307,600,000.00","3,776,400,000.00","4,083,200,000.00","3,730,000,000.00","3,598,000,000.00","3,906,800,000.00", , , , , , , , , 
