ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABA,Auswide Bank Ltd,Annual Ratio Analysis - ROE,9.48%,10.37%,11.04%,12.93%,20.83%,20.48%,14.33%,16.39%,14.57%,14.79%,12.53%,16.75%,11.18%,11.45%,12.32%,14.93%,16.30%,17.52%,12.92%,11.26%,13.84%,11.02%,9.56%,5.12%,6.96%,6.63%
ABA,Auswide Bank Ltd,Annual Profit and Loss - Operating Revenue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ABA,Auswide Bank Ltd,Annual Profit and Loss - Reported NPAT After Abnorma,"34,500,000.00","33,988,000.00","44,544,000.00","55,866,000.00","3,529,000.00","3,574,000.00","3,627,023.00","4,244,743.00","4,044,508.00","4,455,779.00","4,965,618.00","7,017,082.00","8,715,055.00","9,146,684.00","9,834,866.00","12,374,277.00","14,436,340.00","16,299,222.00","18,099,730.00","17,069,940.00","22,268,248.00","22,621,371.00","19,065,008.00","2,881,658.00","14,062,303.00","13,261,991.00"
ABA,Auswide Bank Ltd,Annual Balance Sheet - Total Equity,"363,906,000.00","356,887,000.00","403,526,000.00","431,948,000.00","19,669,000.00","22,208,000.00","27,798,152.00","25,781,504.00","27,787,002.00","29,898,462.00","39,109,584.00","42,159,080.00","76,804,558.00","79,925,616.00","79,806,426.00","82,657,386.00","88,355,907.00","92,517,079.00","140,027,988.00","150,978,190.00","160,586,692.00","194,696,312.00","198,622,949.00","186,921,937.00","195,978,258.00","199,990,072.00"
ABA,Auswide Bank Ltd,Annual Balance Sheet - Total Assets,"6,296,847,000.00","7,256,526,000.00","8,011,244,000.00","9,190,227,000.00","372,282,984.00","413,197,000.00","463,309,502.00","589,021,150.00","635,318,857.00","741,306,442.00","923,884,648.00","582,931,660.00","617,560,830.00","767,798,965.00","841,893,332.00","889,985,798.00","1,645,119,640.00","1,731,419,794.00","2,277,705,687.00","2,478,095,770.00","2,724,910,851.00","2,708,893,026.00","2,696,594,943.00","2,672,380,982.00","2,634,195,381.00","2,717,023,553.00"
ABA1,Advance Bank Australia Limited ,Annual Ratio Analysis - ROE,9.48%,10.37%,11.04%,12.93%,20.83%,20.48%,14.33%, , , , , , , , , , , , , , , , , , , 
ABA1,Advance Bank Australia Limited ,Annual Profit and Loss - Operating Revenue,--,--,--,--,--,--,--, , , , , , , , , , , , , , , , , , , 
ABA1,Advance Bank Australia Limited ,Annual Profit and Loss - Reported NPAT After Abnorma,"34,500,000.00","33,988,000.00","44,544,000.00","55,866,000.00","101,396,000.00","119,727,000.00","182,750,000.00", , , , , , , , , , , , , , , , , , , 
ABA1,Advance Bank Australia Limited ,Annual Balance Sheet - Total Equity,"363,906,000.00","356,887,000.00","403,526,000.00","431,948,000.00","486,698,000.00","592,355,000.00","1,274,913,000.00", , , , , , , , , , , , , , , , , , , 
ABA1,Advance Bank Australia Limited ,Annual Balance Sheet - Total Assets,"6,296,847,000.00","7,256,526,000.00","8,011,244,000.00","9,190,227,000.00","10,439,167,000.00","12,290,414,000.00","20,218,829,000.00", , , , , , , , , , , , , , , , , , , 
ADB,Adelaide Bank Limited,Annual Ratio Analysis - ROE, ,0.55%,10.44%,9.27%,11.29%,12.79%,14.56%,16.30%,14.32%,14.46%,10.13%,12.17%,13.96%,12.00%,12.98%,11.01%,12.85%,14.11%, , , , , , , , 
ADB,Adelaide Bank Limited,Annual Profit and Loss - Operating Revenue, ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , , , , , , , 
ADB,Adelaide Bank Limited,Annual Profit and Loss - Reported NPAT After Abnorma, ,"3,565,000.00","10,548,000.00","13,088,000.00","16,773,000.00","21,008,000.00","26,023,000.00","27,708,000.00","29,531,000.00","30,711,000.00","27,054,000.00","34,141,000.00","41,241,000.00","51,325,000.00","68,228,000.00","81,245,000.00","94,424,000.00","101,025,000.00", , , , , , , , 
ADB,Adelaide Bank Limited,Annual Balance Sheet - Total Equity, ,"688,046,000.00","132,447,000.00","132,560,000.00","147,805,000.00","169,271,000.00","178,615,000.00","184,921,000.00","200,441,000.00","213,307,000.00","266,849,000.00","280,494,000.00","295,339,000.00","427,620,000.00","501,849,000.00","729,635,000.00","734,656,000.00","748,494,000.00", , , , , , , , 
ADB,Adelaide Bank Limited,Annual Balance Sheet - Total Assets, ,"1,090,054,000.00","1,799,873,000.00","1,862,765,000.00","2,455,837,000.00","3,181,016,000.00","3,119,675,000.00","3,511,065,024.00","3,980,326,080.00","4,864,421,000.00","5,711,251,000.00","6,592,134,000.00","6,753,535,000.00","8,752,167,000.00","10,439,826,000.00","13,396,420,000.00","26,211,453,000.00","31,570,715,000.00", , , , , , , , 
AFG,Australian Finance Group Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,42.36%
AFG,Australian Finance Group Ltd,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,--
AFG,Australian Finance Group Ltd,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,"20,374,000.00"
AFG,Australian Finance Group Ltd,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"63,361,000.00","72,230,000.00"
AFG,Australian Finance Group Ltd,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"1,667,482,000.00","1,714,650,000.00"
AFG1,Allco Finance Group Limited,Annual Ratio Analysis - ROE, , , , , , , , , , ,0.00%,3.03%,3.88%,8.03%,7.57%,11.95%,16.05%,9.71%,5.93%, , , , , , , 
AFG1,Allco Finance Group Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , ,--,0.00,"2,951,707.00","4,387,395.00","8,925,774.00","13,923,793.00","370,000.00","7,117,000.00","3,676,000.00", , , , , , , 
AFG1,Allco Finance Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , ,0.00,"1,431,828.00","7,085,864.00","16,496,188.00","25,907,914.00","53,430,035.00","96,943,000.00","219,164,000.00","-1,740,334,000.00", , , , , , , 
AFG1,Allco Finance Group Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , ,"94,813,000.00","94,367,518.00","182,853,088.00","205,443,105.00","342,115,341.00","447,004,239.00","604,135,000.00","2,202,281,000.00","545,280,000.00", , , , , , , 
AFG1,Allco Finance Group Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , ,"94,813,000.00","96,589,759.00","337,200,884.00","213,594,894.00","426,452,491.00","807,259,488.00","1,308,876,000.00","8,583,660,000.00","7,478,761,000.00", , , , , , , 
ANZ,Australia & New Zealand Banking Group Ltd,Annual Ratio Analysis - ROE,9.37%,5.14%,-12.74%,7.04%,14.74%,18.49%,17.77%,16.89%,14.11%,15.75%,17.39%,17.75%,18.94%,17.06%,15.25%,15.71%,18.05%,17.83%,11.44%,11.66%,14.75%,14.91%,14.60%,13.28%,15.09%,13.66%
ANZ,Australia & New Zealand Banking Group Ltd,Annual Profit and Loss - Operating Revenue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ANZ,Australia & New Zealand Banking Group Ltd,Annual Profit and Loss - Reported NPAT After Abnorma,"222,300,000.00","271,400,000.00","-574,000,000.00","254,000,000.00","829,000,000.00","1,062,000,000.00","1,124,999,936.00","1,032,000,000.00","1,115,000,064.00","1,486,000,000.00","1,749,000,000.00","1,872,000,000.00","2,325,000,000.00","2,351,000,000.00","2,819,000,000.00","3,021,000,000.00","3,692,000,000.00","4,187,000,000.00","3,327,000,000.00","2,945,000,000.00","4,505,000,000.00","5,363,000,000.00","5,667,000,000.00","6,282,000,000.00","7,283,000,000.00","7,507,000,000.00"
ANZ,Australia & New Zealand Banking Group Ltd,Annual Balance Sheet - Total Equity,"4,322,700,000.00","5,018,100,000.00","4,591,100,000.00","5,132,900,000.00","5,504,000,000.00","5,747,000,000.00","6,336,000,000.00","6,992,999,808.00","8,391,000,192.00","9,429,000,000.00","9,807,000,000.00","10,551,000,000.00","11,465,000,000.00","13,787,000,000.00","17,925,000,000.00","19,488,000,000.00","19,906,000,000.00","22,048,000,000.00","26,552,000,000.00","32,429,000,000.00","34,155,000,000.00","37,954,000,000.00","41,220,000,000.00","45,615,000,000.00","49,284,000,000.00","57,353,000,000.00"
ANZ,Australia & New Zealand Banking Group Ltd,Annual Balance Sheet - Total Assets,"99,299,800,000.00","98,212,300,000.00","101,137,700,000.00","99,932,600,000.00","103,874,000,000.00","112,587,000,000.00","127,604,002,432.00","138,241,002,944.00","149,719,999,424.00","149,007,000,000.00","172,467,000,000.00","185,493,000,000.00","183,105,000,000.00","195,591,000,000.00","259,345,000,000.00","293,185,000,000.00","335,771,000,000.00","392,613,000,000.00","471,024,000,000.00","476,987,000,000.00","531,739,000,000.00","594,488,000,000.00","642,127,000,000.00","702,991,000,000.00","772,092,000,000.00","889,900,000,000.00"
