ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AAK,Australia China Holdings Limited,Annual Ratio Analysis - ROE, , , , , ,0.13%,15.50%, ,9.23%,8.19%,3.80%,47.35%,13.12%,12.65%,16.70%,10.05%,17.65%,8.90%,1.61%,5.03%,5.36%,2.02%,0.84%,0.44%,0.56%,0.01%,1.40%
AAK,Australia China Holdings Limited,Annual Profit and Loss - Operating Revenue, , , , , ,0.00,"10,182,000.00", ,"13,478,000.00","17,749,000.00","44,577,000.00","48,807,000.00","43,651,000.00","50,050,000.00","39,011,000.00","43,911,000.00","1,404,000.00","3,507,000.00","5,000.00",0.00,0.00,"5,927,000.00",0.00,0.00,"486,000.00","486,000.00",0.00
AAK,Australia China Holdings Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , ,"30,000.00","5,201,000.00", ,"7,509,000.00","6,491,000.00","6,467,000.00","10,397,000.00","13,953,000.00","11,549,000.00","9,624,000.00","5,806,000.00","2,070,000.00","3,110,000.00","608,000.00","2,588,000.00","700,000.00","953,000.00","612,000.00","320,000.00","417,000.00","5,000.00","1,114,000.00"
AAK,Australia China Holdings Limited,Annual Balance Sheet - Total Equity, , , , , ,"28,860,000.00","38,291,000.00", ,"72,500,000.00","82,627,000.00","66,184,000.00","35,347,000.00","48,022,000.00","57,439,000.00","52,760,000.00","58,713,000.00","34,054,000.00","35,361,000.00","38,408,000.00","55,134,000.00","69,039,000.00","72,065,000.00","72,678,000.00","72,998,000.00","74,715,000.00","75,161,000.00","79,565,000.00"
AAK,Australia China Holdings Limited,Annual Balance Sheet - Total Assets, , , , , ,"29,277,000.00","40,680,000.00", ,"77,238,000.00","87,078,000.00","156,755,000.00","119,147,000.00","141,223,000.00","126,327,000.00","106,615,000.00","124,975,000.00","35,864,000.00","39,896,000.00","43,601,000.00","71,550,000.00","72,817,000.00","73,789,000.00","74,780,000.00","75,979,000.00","78,391,000.00","78,907,000.00","80,981,000.00"
ABP,Abacus Property Group,Annual Ratio Analysis - ROE, , , , , , , , , , , , ,0.00%,11.63%,11.47%,9.73%,15.09%,14.86%,7.88%,6.41%,3.56%,6.68%,5.75%,7.05%,9.47%,10.86%, 
ABP,Abacus Property Group,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
ABP,Abacus Property Group,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , ,0.00,"33,808,000.00","34,725,000.00","39,784,000.00","101,860,000.00","120,402,000.00","72,426,000.00","-102,990,000.00","24,993,000.00","17,844,000.00","8,026,000.00","67,480,000.00","107,367,000.00","133,219,000.00", 
ABP,Abacus Property Group,Annual Balance Sheet - Total Equity, , , , , , , , , , , , ,"281,410,000.00","290,581,000.00","302,744,000.00","403,805,000.00","673,111,000.00","803,205,000.00","924,999,000.00","989,727,000.00","1,102,869,000.00","1,093,318,000.00","1,107,892,000.00","1,127,820,000.00","1,290,190,000.00","1,438,128,000.00", 
ABP,Abacus Property Group,Annual Balance Sheet - Total Assets, , , , , , , , , , , , ,"426,486,000.00","414,195,000.00","416,059,000.00","593,520,000.00","1,163,280,000.00","1,270,254,000.00","1,647,193,000.00","1,445,793,000.00","1,505,301,000.00","1,601,622,000.00","2,106,817,000.00","2,127,800,000.00","2,079,336,000.00","2,137,247,000.00", 
ADP,AMP Diversified Property Trust,Annual Ratio Analysis - ROE,5.52%,6.36%,5.78%,7.74%,5.82%,6.05%,6.61%,6.86%,7.10%,7.48%,8.32%,7.93%,7.96%,7.95%, , , , , , , , , , , , , 
ADP,AMP Diversified Property Trust,Annual Profit and Loss - Operating Revenue,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , , , , , , , , , , , , 
ADP,AMP Diversified Property Trust,Annual Profit and Loss - Reported NPAT After Abnorma,"38,819,000.00","39,131,000.00","40,523,000.00","33,651,000.00","56,291,000.00","45,968,000.00","64,606,000.00","70,165,000.00","71,340,000.00","74,145,000.00","81,264,000.00","83,243,000.00","93,424,000.00","103,887,000.00", , , , , , , , , , , , , 
ADP,AMP Diversified Property Trust,Annual Balance Sheet - Total Equity,"899,975,000.00","811,657,000.00","750,339,000.00","476,164,000.00","639,998,000.00","657,975,000.00","853,724,000.00","898,657,984.00","933,290,024.00","967,028,992.00","979,702,000.00","1,050,135,000.00","1,174,149,000.00","1,307,224,000.00", , , , , , , , , , , , , 
ADP,AMP Diversified Property Trust,Annual Balance Sheet - Total Assets,"1,061,139,000.00","975,462,000.00","945,038,000.00","625,508,000.00","773,904,000.00","735,977,000.00","905,603,000.00","1,046,552,984.00","1,229,940,040.00","1,330,669,032.00","1,434,261,000.00","1,467,893,000.00","1,632,675,000.00","1,888,007,000.00", , , , , , , , , , , , , 
AEH,Aveo Healthcare Limited,Annual Ratio Analysis - ROE, , , , ,1.90%,2.86%,3.19%,-11.64%,-12.30%,-19.73%,-20.63%,-575.81%,-12.75%,6.22%,10.39%,10.70%,22.27%,26.61%,20.23%,-1.08%,-1.75%,-2.20%,21.92%,9.74%, , , 
AEH,Aveo Healthcare Limited,Annual Profit and Loss - Operating Revenue, , , , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , , 
AEH,Aveo Healthcare Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , ,"1,889,000.00","3,293,000.00","3,513,887.00","-719,451.00","-824,292.00","-2,175,720.00","-1,492,854.00","4,133,012.00","-21,303,158.00","3,381,000.00","-11,196,000.00","5,175,000.00","26,965,000.00","43,896,000.00","30,975,000.00","5,655,000.00","18,014,000.00","40,611,000.00","-45,201,000.00","-3,878,000.00", , , 
AEH,Aveo Healthcare Limited,Annual Balance Sheet - Total Equity, , , , ,"50,581,000.00","51,047,000.00","51,425,378.00","6,180,045.00","6,702,624.00","4,558,551.00","4,921,005.00","168,003.00","51,000,778.00","54,382,000.00","43,186,000.00","48,361,000.00","121,072,000.00","164,968,000.00","195,943,000.00","201,598,000.00","219,612,000.00","263,332,000.00","214,478,000.00","201,725,000.00", , , 
AEH,Aveo Healthcare Limited,Annual Balance Sheet - Total Assets, , , , ,"57,431,000.00","63,143,000.00","67,567,803.00","6,446,272.00","6,787,546.00","4,597,895.00","4,959,967.00","1,677,510.00","83,240,520.00","86,544,000.00","72,384,000.00","79,880,000.00","339,078,000.00","411,012,000.00","471,209,000.00","485,602,000.00","519,632,000.00","675,674,000.00","627,848,000.00","616,036,000.00", , , 
AEZ,APN European Retail Property Group,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , ,--,--,--,--,21.10%,85.98%, , , , , 
AEZ,APN European Retail Property Group,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , ,--,--,--,--,--,--, , , , , 
AEZ,APN European Retail Property Group,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , ,"20,188,000.00","1,941,000.00","-59,518,000.00","-322,106,000.00","-67,218,000.00","-129,915,000.00", , , , , 
AEZ,APN European Retail Property Group,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , ,--,--,--,--,"86,652,000.00","-92,581,000.00", , , , , 
AEZ,APN European Retail Property Group,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , ,"1,005,540,000.00","1,319,273,000.00","1,342,421,000.00","1,111,985,000.00","818,331,000.00","525,752,000.00", , , , , 
AGH1,Australian Growth Properties Limited,Annual Ratio Analysis - ROE, , , , , , , ,5.19%,7.71%,7.54%,5.90%,4.98%,5.52%, , , , , , , , , , , , , , 
AGH1,Australian Growth Properties Limited,Annual Profit and Loss - Operating Revenue, , , , , , , ,--,--,--,--,--,--, , , , , , , , , , , , , , 
AGH1,Australian Growth Properties Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , ,"16,144,000.00","23,860,000.00","21,234,000.00","10,613,000.00","13,745,000.00","18,209,000.00", , , , , , , , , , , , , , 
AGH1,Australian Growth Properties Limited,Annual Balance Sheet - Total Equity, , , , , , , ,"311,128,000.00","309,291,000.00","302,824,000.00","303,652,000.00","299,475,000.00","314,138,000.00", , , , , , , , , , , , , , 
AGH1,Australian Growth Properties Limited,Annual Balance Sheet - Total Assets, , , , , , , ,"375,729,000.00","447,094,016.00","526,983,000.00","539,911,000.00","476,480,000.00","480,463,000.00", , , , , , , , , , , , , , 
AGJ,Agricultural Land Trust,Annual Ratio Analysis - ROE, , , , , , , , , , , , , ,7.36%,-1.77%,8.55%,--,--,--,7.18%,6.47%,7.32%,-49.55%,-47.93%,306.64%,-12.40%, 
AGJ,Agricultural Land Trust,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , ,--,--,--,--,--,--,--,--,--,--,--,--,--, 
AGJ,Agricultural Land Trust,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , ,"276,048.00","1,743,000.00","-8,428,000.00","-3,049,000.00","-378,000.00","-612,000.00","-3,117,000.00","1,969,000.00","2,472,000.00","-10,592,000.00","-6,041,000.00","-2,930,000.00","3,547,000.00", 
