ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ADZ,Adsteam Marine Limited,Annual Ratio Analysis - ROE, , , , , , , ,9.31%,41.87%,34.01%,19.20%,6.40%,8.79%,9.09%,5.28%,9.20%,11.38%, , , , , , , , , 
ADZ,Adsteam Marine Limited,Annual Profit and Loss - Operating Revenue, , , , , , , ,"29,454,000.00","104,370,000.00","116,942,000.00","63,805,000.00","83,192,000.00","342,715,000.00","322,654,000.00","301,282,000.00","323,870,000.00","321,221,000.00", , , , , , , , , 
ADZ,Adsteam Marine Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , ,"3,162,000.00","16,815,000.00","17,115,000.00","17,921,000.00","16,224,000.00","30,545,000.00","-62,714,000.00","23,127,000.00","23,374,000.00","43,130,000.00", , , , , , , , , 
ADZ,Adsteam Marine Limited,Annual Balance Sheet - Total Equity, , , , , , , ,"33,762,000.00","40,571,000.00","50,326,000.00","88,969,000.00","272,013,000.00","346,907,000.00","239,201,000.00","319,552,000.00","315,448,000.00","355,889,000.00", , , , , , , , , 
ADZ,Adsteam Marine Limited,Annual Balance Sheet - Total Assets, , , , , , , ,"85,076,000.00","110,075,000.00","141,930,000.00","246,420,000.00","895,930,000.00","909,543,000.00","791,215,000.00","790,181,000.00","730,531,000.00","811,718,000.00", , , , , , , , , 
AIA,Auckland International Airport Limited,Annual Ratio Analysis - ROE, , , , , , , , , ,8.31%,10.21%,10.94%,9.77%,14.04%,16.18%,23.09%,5.57%,4.75%,5.96%,5.75%,5.49%,4.90%,5.62%,6.15%,5.82%,5.80%
AIA,Auckland International Airport Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , ,"132,304,264.00","136,362,907.00","150,934,959.00","155,096,768.00","185,101,274.00","196,771,837.00","259,082,240.00","225,178,879.00","260,864,399.00","350,406,059.00","191,292,243.00","184,943,126.00","167,618,312.00","248,894,370.00","308,729,677.00","361,534,244.00","370,019,479.00"
AIA,Auckland International Airport Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , ,"34,871,712.00","32,647,118.00","47,228,598.00","61,922,412.00","72,901,169.00","85,975,387.00","96,856,147.00","84,838,391.00","83,429,478.00","89,586,009.00","33,573,382.00","24,125,771.00","77,789,701.00","111,411,792.00","149,917,445.00","200,614,255.00","197,892,686.00"
AIA,Auckland International Airport Limited,Annual Balance Sheet - Total Equity, , , , , , , , , ,"420,913,291.00","321,713,179.00","430,549,976.00","632,688,785.00","477,789,418.00","531,417,502.00","419,500,320.00","1,525,702,771.00","1,754,622,222.00","1,504,189,864.00","1,481,450,756.00","1,554,788,755.00","1,904,988,033.00","1,936,236,003.00","2,105,557,240.00","2,712,512,777.00","2,694,262,440.00"
AIA,Auckland International Airport Limited,Annual Balance Sheet - Total Assets, , , , , , , , , ,"679,741,750.00","541,387,864.00","704,836,601.00","953,265,076.00","974,925,790.00","1,066,258,887.00","1,173,506,922.00","2,268,164,322.00","2,636,681,179.00","2,452,935,998.00","2,484,831,831.00","2,650,355,866.00","2,984,798,888.00","3,034,635,502.00","3,317,792,940.00","4,399,144,131.00","4,517,000,177.00"
AIO,Asciano Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,1.60%,0.39%,4.61%,7.67%,7.50%,9.62%,9.46%,10.50%
AIO,Asciano Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , ,"2,887,120,000.00","2,797,302,000.00","2,849,925,000.00","3,056,300,000.00","3,408,400,000.00","3,688,200,000.00","3,926,100,000.00","3,795,400,000.00"
AIO,Asciano Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , ,"-182,067,000.00","-244,100,000.00","-975,917,000.00","145,200,000.00","242,700,000.00","342,300,000.00","257,000,000.00","360,800,000.00"
AIO,Asciano Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , ,"1,987,636,000.00","2,203,767,000.00","3,103,785,000.00","3,217,800,000.00","3,347,400,000.00","3,634,800,000.00","3,716,200,000.00","3,968,500,000.00"
AIO,Asciano Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"7,473,737,000.00","7,950,747,000.00","6,557,327,000.00","6,808,800,000.00","7,162,200,000.00","7,643,100,000.00","8,176,200,000.00","8,876,700,000.00"
AIZ,Air New Zealand Limited,Annual Ratio Analysis - ROE, , , , , , , , ,7.28%,-0.13%,-49.39%,-33.51%,-12.76%,15.73%,12.68%,11.88%,8.78%,13.62%,13.82%,9.91%,5.87%,5.45%,4.09%,10.03%,15.33%,17.71%
AIZ,Air New Zealand Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , ,"2,584,744,687.00","2,694,440,947.00","3,195,861,543.00","6,344,751,315.00","3,822,562,640.00","3,157,524,882.00","3,188,568,824.00","3,313,468,414.00","3,129,369,191.00","3,896,598,639.00","3,701,324,450.00","3,708,561,313.00","3,287,292,817.00","3,351,347,178.00","3,510,296,766.00","3,890,152,472.00","4,102,778,552.00","4,360,722,507.00"
