ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ACK,Austock Group Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , ,45.22%,-74.33%,-22.16%,12.13%,-40.89%,-32.43%,-4.73%,-8.63%
ACK,Austock Group Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , ,--,--,--,--,--,--,--,--
ACK,Austock Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , ,"-7,327,000.00","-28,417,000.00","1,193,000.00","15,010,000.00","-9,564,000.00","25,882,000.00","21,281,000.00","18,023,000.00"
ACK,Austock Group Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , ,"49,691,000.00","27,357,000.00","26,505,000.00","27,799,000.00","13,071,000.00","12,012,000.00","9,596,000.00","8,475,000.00"
ACK,Austock Group Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , ,"274,469,000.00","216,547,000.00","215,277,000.00","272,514,000.00","321,674,000.00","393,704,000.00","499,488,000.00","607,766,000.00"
AUB,AUB Group Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,11.49%,22.38%,14.39%,15.09%,15.38%,14.36%,14.97%,17.23%,16.23%,15.45%,13.26%
AUB,AUB Group Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , ,0.00,0.00,0.00,"64,019,000.00","77,095,000.00","85,639,000.00","90,996,000.00","99,840,000.00","138,656,000.00","172,966,000.00","191,339,000.00"
AUB,AUB Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , ,"8,744,000.00","18,341,000.00","13,097,000.00","16,209,000.00","18,518,000.00","21,320,000.00","25,019,000.00","29,671,000.00","47,537,000.00","42,402,000.00","42,857,000.00"
AUB,AUB Group Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , ,"75,796,000.00","84,468,000.00","94,730,000.00","103,669,000.00","114,253,000.00","134,574,000.00","153,316,000.00","172,290,000.00","230,398,000.00","269,579,000.00","311,326,000.00"
AUB,AUB Group Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"182,478,000.00","195,024,000.00","211,626,000.00","253,294,000.00","307,701,000.00","325,344,000.00","367,327,000.00","407,139,000.00","564,064,000.00","626,481,000.00","675,005,000.00"
AXA,AXA Asia Pacific Holdings Limited,Annual Ratio Analysis - ROE, , , , , ,--,--,5.91%,4.20%,5.69%,9.78%,46.15%,9.29%,13.28%,13.29%,15.30%,17.11%,17.31%,-3.86%,13.90%,14.07%, , , , , 
AXA,AXA Asia Pacific Holdings Limited,Annual Profit and Loss - Operating Revenue, , , , , ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, , , , , 
AXA,AXA Asia Pacific Holdings Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , ,0.00,0.00,"410,444,000.00","218,090,000.00","350,916,000.00","413,000,000.00","430,000,000.00","344,000,000.00","960,000,000.00","549,000,000.00","542,000,000.00","668,000,000.00","639,000,000.00","-279,000,000.00","680,000,000.00","597,000,000.00", , , , , 
AXA,AXA Asia Pacific Holdings Limited,Annual Balance Sheet - Total Equity, , , , , ,--,--,"5,085,574,088.00","5,485,911,936.00","5,145,703,000.00","3,161,000,000.00","3,389,000,000.00","3,400,000,000.00","4,118,000,000.00","4,115,000,000.00","3,543,000,000.00","3,904,000,000.00","3,726,000,000.00","3,267,000,000.00","4,475,000,000.00","4,463,000,000.00", , , , , 
AXA,AXA Asia Pacific Holdings Limited,Annual Balance Sheet - Total Assets, , , , , ,--,--,"6,056,052,008.00","6,308,056,960.00","6,204,398,000.00","26,825,000,000.00","28,326,000,000.00","27,734,000,000.00","27,201,000,000.00","29,152,000,000.00","30,442,000,000.00","32,555,000,000.00","36,196,000,000.00","32,133,000,000.00","31,368,000,000.00","30,695,000,000.00", , , , , 
CBL,CBL Corporation Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,19.75%
CBL,CBL Corporation Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,--
CBL,CBL Corporation Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,"33,289,584.00"
CBL,CBL Corporation Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"151,884,916.00","181,576,825.00"
CBL,CBL Corporation Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"595,201,682.00","697,434,142.00"
CIX,Calliden Group Limited,Annual Ratio Analysis - ROE, , , ,0.17%,9.16%,13.48%,15.18%,13.85%,-9.35%,-705.72%,-40.62%,-3.15%,2.38%,51.66%,11.54%,-6.89%,-2.99%,1.35%,8.85%,-0.40%,9.46%,-10.85%,1.14%,6.22%, , 
