ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ADG,Adtrans Group Limited,Annual Ratio Analysis - ROE,11.35%,-18.29%,-14.11%,20.67%,38.23%,29.57%,24.33%,24.08%,25.65%,26.99%,23.19%,17.79%,22.14%,22.08%,16.14%,17.23%,14.31%,15.57%,19.52%,9.94%,12.69%, , , , , , 
ADG,Adtrans Group Limited,Annual Profit and Loss - Operating Revenue,"234,800,000.00","222,115,008.00","197,766,000.00","236,227,008.00","285,824,000.00","346,540,000.00","360,432,736.00","375,767,488.00","416,538,080.00","403,704,096.00","395,724,687.00","397,870,000.00","469,515,000.00","524,648,000.00","577,120,000.00","630,972,000.00","636,423,000.00","643,523,000.00","752,759,000.00","683,627,000.00","698,537,000.00", , , , , , 
ADG,Adtrans Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"1,684,000.00","-2,416,000.00","-1,474,000.00","1,821,000.00","4,391,000.00","4,708,000.00","4,300,193.00","4,851,391.00","4,337,494.00","6,091,472.00","6,238,777.00","4,925,000.00","7,169,000.00","7,490,000.00","7,156,000.00","8,248,000.00","7,496,000.00","8,757,000.00","12,098,000.00","6,839,000.00","9,264,000.00", , , , , , 
ADG,Adtrans Group Limited,Annual Balance Sheet - Total Equity,"12,655,000.00","10,240,000.00","8,564,000.00","9,776,000.00","10,558,000.00","15,078,000.00","17,195,841.00","19,798,040.00","20,726,425.00","23,375,180.00","26,414,142.00","27,643,000.00","32,801,000.00","38,559,000.00","44,019,000.00","47,877,000.00","52,273,000.00","56,259,000.00","61,848,000.00","69,450,000.00","72,997,000.00", , , , , , 
ADG,Adtrans Group Limited,Annual Balance Sheet - Total Assets,"60,935,000.00","49,636,000.00","55,859,000.00","33,183,000.00","35,373,000.00","48,194,000.00","49,369,522.00","54,950,441.00","57,579,598.00","64,173,412.00","62,933,623.00","74,173,000.00","134,001,000.00","137,296,000.00","149,960,000.00","162,298,000.00","173,567,000.00","187,898,000.00","237,871,000.00","221,885,000.00","223,220,000.00", , , , , , 
ADH,Adairs Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,7.55%, 
ADH,Adairs Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,"210,878,000.00", 
ADH,Adairs Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,"745,000.00", 
ADH,Adairs Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"64,756,000.00","77,952,000.00", 
ADH,Adairs Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"134,145,000.00","157,399,000.00", 
