ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1ST,1st Available Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , ,0.00%,-34.50%, 
1ST,1st Available Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , ,--,"288,046.00", 
1ST,1st Available Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , ,0.00,"-3,309,803.00", 
1ST,1st Available Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , ,"1,445,449.00","9,593,068.00", 
1ST,1st Available Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , ,"2,438,317.00","10,822,246.00", 
ACG,AtCor Medical Holdings Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,-14.34%,-27.80%,-55.24%,-63.62%,-36.41%,-32.65%,-101.61%,-105.36%,56.04%,-81.11%,-33.23%, 
ACG,AtCor Medical Holdings Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , ,"3,106,000.00","3,334,000.00","4,874,000.00","6,450,599.00","11,209,113.00","9,198,496.00","7,458,450.00","6,441,493.00","9,055,721.00","5,053,284.00","5,467,457.00", 
ACG,AtCor Medical Holdings Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , ,"-2,696,000.00","-4,005,000.00","-5,183,000.00","-3,792,731.00","-1,691,433.00","-1,220,057.00","-3,081,084.00","-1,985,519.00","2,734,023.00","-2,663,508.00","-1,440,177.00", 
ACG,AtCor Medical Holdings Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , ,"18,795,000.00","14,406,000.00","9,382,000.00","5,961,497.00","4,645,022.00","3,736,765.00","3,032,122.00","1,884,420.00","4,878,933.00","3,283,947.00","4,333,993.00", 
ACG,AtCor Medical Holdings Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"20,336,000.00","15,845,000.00","11,404,000.00","7,950,918.00","7,900,161.00","5,901,303.00","5,251,336.00","4,181,758.00","6,375,007.00","4,631,270.00","5,953,596.00", 
ADR,Adherium Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , , , , , , ,0.00%, 
ADR,Adherium Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , , , , , , ,--, 
ADR,Adherium Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, 
ADR,Adherium Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , , , , , , ,"34,528,000.00", 
ADR,Adherium Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , , , , , , ,"37,153,000.00", 
AHZ,Admedus Ltd,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , ,-12.97%,-46.46%,-39.87%,-104.18%,-93.52%,-99.48%,-96.90%,-14.32%,-43.99%,-14.28%,-26.34%,-69.71%, 
AHZ,Admedus Ltd,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , ,--,--,0.00,0.00,0.00,0.00,0.00,"6,749,716.00","6,435,653.00","7,402,988.00","7,900,095.00","10,133,460.00", 
AHZ,Admedus Ltd,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , ,"-650,347.00","-1,767,760.00","-1,177,080.00","-2,237,442.00","-1,275,942.00","-1,131,386.00","-1,312,566.00","-1,953,648.00","-10,222,135.00","-2,418,497.00","-8,207,715.00","-26,799,970.00", 
AHZ,Admedus Ltd,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , ,"5,012,432.00","3,805,141.00","3,372,319.00","2,338,684.00","1,388,617.00","1,098,045.00","1,239,267.00","13,638,433.00","10,433,447.00","15,075,074.00","37,166,875.00","38,558,482.00", 
AHZ,Admedus Ltd,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , ,"5,067,931.00","3,826,752.00","3,923,693.00","2,583,739.00","1,563,980.00","1,301,215.00","1,398,206.00","14,748,179.00","11,197,704.00","16,563,796.00","39,761,373.00","41,260,466.00", 
AJJ,Asian American Medical Group Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , ,-57.60%,-435.39%,647.12%,128.97%,58.52%,54.90%,2.93%,-47.23%,13.02%, 
AJJ,Asian American Medical Group Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , ,"884,047.00","876,320.00","17,708,458.00","16,933,988.00","16,123,928.00","18,598,739.00","16,957,237.00","13,640,150.00","19,287,616.00", 
AJJ,Asian American Medical Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , ,"-781,209.00","-1,612,046.00","1,935,289.00","1,933,475.00","1,196,931.00","1,942,200.00","202,984.00","-2,135,444.00","553,232.00", 
AJJ,Asian American Medical Group Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , ,"1,356,377.00","370,251.00","1,794,022.00","1,499,138.00","2,141,063.00","3,581,986.00","6,928,720.00","4,521,330.00","8,393,344.00", 
AJJ,Asian American Medical Group Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , ,"1,751,235.00","834,240.00","7,766,030.00","5,367,945.00","5,923,949.00","7,648,880.00","10,827,702.00","7,052,434.00","15,036,712.00", 
ALC,Alcidion Group Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , , , , ,0.00%,-28.09%,-123.03%,-28.59%,-3.69%,-7.43%, 
ALC,Alcidion Group Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , , , , ,--,--,"107,621.00","110,245.00",0.00,--, 
ALC,Alcidion Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , , , , ,0.00,"-721,657.00","-3,108,021.00","-1,193,789.00","-148,588.00","-278,421.00", 
ALC,Alcidion Group Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , , , , ,"5,715,533.00","5,138,102.00","2,526,150.00","4,175,336.00","4,026,748.00","3,748,327.00", 
ALC,Alcidion Group Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , , , , ,"5,745,640.00","5,357,353.00","2,658,559.00","4,201,734.00","4,041,074.00","3,763,186.00", 
ALT,Analytica Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,-117.86%,-865.06%,-182.06%,-126.20%,-279.21%,-173.28%,-37.62%,-171.20%,-681.14%,-133.75%,"-1,394.99%", 
ALT,Analytica Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , ,"619,672.00","194,251.00","249,807.00",0.00,0.00,"1,800.00","6,100.00","4,880.00","498,081.00",0.00,"73,824.00", 
ALT,Analytica Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , ,"-3,614,447.00","-3,076,454.00","-589,740.00","-829,457.00","-1,901,780.00","-1,287,837.00","-203,176.00","-2,222,009.00","-1,135,751.00","-3,176,008.00","-5,315,604.00", 
ALT,Analytica Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , ,"3,066,839.00","355,641.00","323,934.00","657,235.00","681,132.00","743,224.00","540,012.00","1,297,909.00","166,743.00","2,374,522.00","381,049.00", 
ALT,Analytica Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , ,"3,290,538.00","448,075.00","510,523.00","1,140,607.00","1,197,749.00","834,519.00","989,346.00","1,486,412.00","422,800.00","2,824,921.00","1,080,043.00", 
AMT,Allegra Orthopaedics Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , ,0.00%,1.92%,-12.12%,-11.97%,-63.10%,-4.29%,-11.61%,-7.22%,-20.42%, 
AMT,Allegra Orthopaedics Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , ,--,"6,815,141.00","6,187,581.00","7,307,000.00","7,195,000.00","8,511,000.00","7,156,000.00","7,966,000.00","7,316,662.00", 
AMT,Allegra Orthopaedics Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , ,0.00,"180,005.00","-1,024,695.00","-896,000.00","-3,265,000.00","-173,000.00","-571,000.00","-64,000.00","-855,056.00", 
AMT,Allegra Orthopaedics Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , ,"8,355,000.00","9,362,992.00","8,454,149.00","7,485,000.00","4,247,000.00","4,035,000.00","4,203,000.00","4,169,000.00","4,186,474.00", 
AMT,Allegra Orthopaedics Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , ,"10,425,000.00","11,579,727.00","10,833,365.00","10,613,000.00","8,585,000.00","11,607,000.00","10,757,000.00","8,034,000.00","7,279,538.00", 
