ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AAU,Adcorp Australia Limited,Annual Ratio Analysis - ROE, , , , , , , ,--,--,0.00%,36.43%,28.19%,20.14%,19.28%,19.45%,15.72%,14.85%,-47.57%,23.53%,1.82%,-91.06%,16.47%,17.67%,-438.98%,310.85%,-16.92%
AAU,Adcorp Australia Limited,Annual Profit and Loss - Operating Revenue, , , , , , , ,"66,023,000.00","15,398,000.00","99,143,000.00","114,129,000.00","124,469,000.00","118,755,000.00","155,762,000.00","183,234,000.00","33,842,000.00","32,577,000.00","34,862,000.00","39,312,000.00","66,884,000.00","61,760,000.00","58,354,000.00","28,252,000.00","20,660,000.00","18,426,000.00","18,130,000.00"
AAU,Adcorp Australia Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , ,0.00,0.00,0.00,"5,274,000.00","4,559,000.00","4,006,000.00","4,447,000.00","4,911,000.00","4,253,000.00","3,656,000.00","-6,845,000.00","4,377,000.00","357,000.00","-7,101,000.00","1,270,000.00","1,489,000.00","-6,887,000.00","-2,605,000.00","159,000.00"
AAU,Adcorp Australia Limited,Annual Balance Sheet - Total Equity, , , , , , , ,--,--,"12,302,000.00","14,341,000.00","16,174,000.00","19,886,000.00","23,065,000.00","25,254,000.00","27,052,000.00","24,553,000.00","15,947,000.00","17,236,000.00","15,161,000.00","7,889,000.00","8,382,000.00","8,694,000.00","1,543,000.00","-863,000.00","-784,000.00"
AAU,Adcorp Australia Limited,Annual Balance Sheet - Total Assets, , , , , , , ,--,--,"35,299,000.00","43,131,000.00","48,246,000.00","45,147,000.00","54,436,000.00","58,339,000.00","56,745,000.00","52,113,000.00","50,776,000.00","55,590,000.00","42,140,000.00","45,822,000.00","44,850,000.00","33,897,000.00","21,458,000.00","18,949,000.00","12,341,000.00"
ABF,Ausmani Limited,Annual Ratio Analysis - ROE,-10.59%,-3.91%,-20.19%,-16.39%,-21.75%,-9.21%,2.15%,8.18%,16.71%,10.93%,0.12%,184.97%,-63.47%,50.59%,-46.57%,-32.84%,0.00%,-7.86%,-0.37%,5.97%,-104.47%,-376.42%,5.23%,"-15,705.98%",182.30%,48.53%
ABF,Ausmani Limited,Annual Profit and Loss - Operating Revenue,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ABF,Ausmani Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-169,000.00","-60,000.00","-258,000.00","-180,000.00","-196,000.00","-109,000.00","36,906.00","188,991.00","603,286.00","557,203.00","7,774.00","-34,255,632.00","-2,219,460.00","3,581,014.00","-4,708,097.00","-6,270,567.00","-9,774,588.00","-2,070,460.00","-1,078,678.00","469,974.00","-5,275,265.00","-2,019,184.00","24,391.00","2,739,047.00","19,280.00","6,782.00"
ABF,Ausmani Limited,Annual Balance Sheet - Total Equity,"1,596,000.00","1,536,000.00","1,278,000.00","1,098,000.00","901,000.00","1,183,000.00","1,720,456.00","2,309,446.00","3,609,955.00","5,099,202.00","6,261,577.00","5,068,701.00","3,496,892.00","7,077,906.00","6,395,672.00","9,980,651.00","4,295,017.00","4,244,620.00","3,165,942.00","7,877,753.00","2,602,488.00","709,137.00","-3,126,735.00",301.00,"10,576.00","13,975.00"
ABF,Ausmani Limited,Annual Balance Sheet - Total Assets,"1,715,000.00","1,679,000.00","1,754,000.00","1,872,000.00","1,675,000.00","2,325,000.00","2,795,008.00","3,943,111.00","6,154,566.00","8,434,438.00","9,363,205.00","20,853,917.00","22,264,960.00","23,480,165.00","22,677,944.00","20,865,694.00","13,918,270.00","4,388,626.00","3,325,132.00","13,577,806.00","9,333,329.00","6,592,182.00",--,"100,301.00","20,576.00","27,358.00"
AEO,Austereo Group Limited,Annual Ratio Analysis - ROE, , , , , , , , ,--,--,7.72%,1.58%,6.14%,5.43%,5.12%,5.19%,6.07%,7.17%,7.29%,6.84%,7.12%, , , , , 
AEO,Austereo Group Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , ,"174,010,000.00","191,116,000.00","231,363,000.00","85,988,000.00","256,775,000.00","245,845,000.00","240,410,000.00","247,901,000.00","235,898,000.00","251,302,000.00","262,092,000.00","254,755,000.00","260,187,000.00", , , , , 
