ASX Code,Company Name,Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
88E,88 Energy Limited,Annual Ratio Analysis - ROE, , , , , , , ,--,-11.91%,-45.52%,-199.53%,-124.33%,142.67%,16.65%,4.83%,227.29%,-13.71%,-26.34%,-79.73%,-53.75%,-48.46%,-51.88%,-29.48%,-41.38%,"-2,055.00%",-29.34%, 
88E,88 Energy Limited,Annual Profit and Loss - Operating Revenue, , , , , , , ,--,--,"100,899.00","1,531,930.00","1,414,818.00","1,061,921.00",--,--,0.00,--,--,--,--,0.00,--,--,0.00,--,0.00, 
88E,88 Energy Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , ,"-938,039.00","-889,662.00","-1,968,940.00","-10,776,000.00","-6,818,541.00","-8,910,211.00","-676,044.00","-206,008.00","3,780,510.00","-306,808.00","-941,602.00","-1,972,792.00","-864,990.00","-1,731,782.00","-2,564,440.00","-4,771,796.00","-6,891,580.00","-27,713,105.00","-6,304,712.00", 
88E,88 Energy Limited,Annual Balance Sheet - Total Equity, , , , , , , ,--,"7,470,117.00","4,325,288.00","4,515,927.00","4,409,005.00","-3,383,238.00","-4,059,282.00","-4,265,290.00","1,663,303.00","2,237,711.00","3,574,270.00","2,474,328.00","1,609,338.00","3,573,931.00","4,942,910.00","16,186,451.00","16,653,363.00","1,348,572.00","21,488,053.00", 
88E,88 Energy Limited,Annual Balance Sheet - Total Assets, , , , , , , ,--,"7,720,439.00","11,428,651.00","8,522,979.00","8,056,682.00","466,339.00",--,--,"1,707,414.00","2,262,506.00","3,648,227.00","2,556,266.00","1,694,459.00","3,788,450.00","6,055,866.00","16,631,874.00","17,569,124.00","1,742,505.00","36,477,108.00", 
AAL,APAC Coal Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , , , ,0.00%, ,-27.80%,-19.95%,-25.84%,-10.92%,-11.32%,-37.14%,-13.35%, 
AAL,APAC Coal Limited,Annual Profit and Loss - Operating Revenue, , , , , , , , , , , , , , , , , ,--, ,--,"10,937.00",--,0.00,--,0.00,0.00, 
AAL,APAC Coal Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , , , ,0.00, ,"-1,873,361.00","-733,261.00","-796,954.00","-311,413.00","-278,635.00","-786,819.00","-221,286.00", 
AAL,APAC Coal Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , , , ,"220,607.00", ,"4,492,008.00","3,674,827.00","3,083,945.00","2,852,581.00","2,462,060.00","2,118,380.00","1,657,576.00", 
AAL,APAC Coal Limited,Annual Balance Sheet - Total Assets, , , , , , , , , , , , , , , , , ,"457,650.00", ,"5,478,688.00","4,767,323.00","4,221,036.00","4,403,242.00","4,252,548.00","2,319,055.00","1,796,501.00", 
