ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1ST,1st Available Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , ,"1,445,449.00","9,593,068.00"
1ST,1st Available Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , ,--,"288,046.00"
1ST,1st Available Limited,Annual Profit and Loss - EBITDA, , , , , , , , , , , , , , ,0.00,"-3,203,236.00"
1ST,1st Available Limited,Annual Profit and Loss - EBIT, , , , , , , , , , , , , , ,0.00,"-3,634,474.00"
1ST,1st Available Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , ,0.00,"-3,309,803.00"
1ST,1st Available Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , , , , , , , , , ,--,--
1ST,1st Available Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , , , , , , , , , ,--,"-1,149.05%"
1ST,1st Available Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , ,0.00%,-34.50%
1ST,1st Available Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , ,0.00,"10,515,480.88"
ACG,AtCor Medical Holdings Limited,Annual Balance Sheet - Total Equity, , , , , ,"18,795,000.00","14,406,000.00","9,382,000.00","5,961,497.00","4,645,022.00","3,736,765.00","3,032,122.00","1,884,420.00","4,878,933.00","3,283,947.00","4,333,993.00"
ACG,AtCor Medical Holdings Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , ,"3,446,000.00","3,723,000.00","5,070,000.00","6,944,951.00","12,157,946.00","9,980,058.00","7,657,633.00","7,115,778.00","10,778,637.00","5,556,038.00","6,923,222.00"
ACG,AtCor Medical Holdings Limited,Annual Profit and Loss - EBITDA, , , , , ,"-2,982,000.00","-4,720,000.00","-5,917,000.00","-3,997,453.00","-1,749,824.00","-1,108,006.00","-2,948,043.00","-1,804,549.00","2,911,327.00","-2,573,086.00","-1,353,617.00"
ACG,AtCor Medical Holdings Limited,Annual Profit and Loss - EBIT, , , , , ,"-3,012,000.00","-4,801,000.00","-6,079,000.00","-4,145,441.00","-1,926,234.00","-1,273,840.00","-3,100,832.00","-1,986,733.00","2,732,862.00","-2,671,589.00","-1,441,673.00"
ACG,AtCor Medical Holdings Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , ,"-2,696,000.00","-4,005,000.00","-5,183,000.00","-3,792,731.00","-1,691,433.00","-1,220,057.00","-3,081,084.00","-1,985,519.00","2,734,023.00","-2,663,508.00","-1,440,177.00"
ACG,AtCor Medical Holdings Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , ,--,--,--,--,--,--,--,--,--,--,--
ACG,AtCor Medical Holdings Limited,Annual Ratio Analysis - Net Profit Margin, , , , , ,-86.80%,-120.13%,-106.34%,-58.80%,-15.09%,-13.26%,-41.31%,-30.82%,30.19%,-52.71%,-26.34%
ACG,AtCor Medical Holdings Limited,Annual Ratio Analysis - ROE, , , , , ,-14.34%,-27.80%,-55.24%,-63.62%,-36.41%,-32.65%,-101.61%,-105.36%,56.04%,-81.11%,-33.23%
ACG,AtCor Medical Holdings Limited,Annual Ratio Analysis - Market Cap.($), , , , , ,0.00,"16,632,559.90","13,000,000.00","10,000,000.00","19,000,000.00","11,545,041.70","20,114,791.65","8,868,916.74","10,553,569.53","14,799,386.23","32,558,336.28"
