ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1AG,Alterra Limited,Annual Balance Sheet - Total Equity, , , , , , , , ,"6,499,088.00","4,233,594.00","4,958,832.00","8,413,645.00","14,959,775.00","14,282,080.00","12,440,085.00","12,192,218.00"
1AG,Alterra Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , ,--,"16,671.00","13,271,768.00","6,995,507.00","16,543,256.00","723,421.00","2,648,707.00","3,064,926.00"
1AG,Alterra Limited,Annual Profit and Loss - EBITDA, , , , , , , , ,"-1,214,914.00","-2,577,494.00","384,856.00","1,086,072.00","5,442,314.00","-162,620.00","532,302.00","1,201,267.00"
1AG,Alterra Limited,Annual Profit and Loss - EBIT, , , , , , , , ,"-1,218,362.00","-2,624,693.00","210,158.00","943,551.00","5,290,609.00","-3,437,080.00","-202,999.00","312,037.00"
1AG,Alterra Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , ,"-1,129,932.00","-2,367,675.00","317,330.00","854,762.00","4,191,609.00","-72,638.00","-1,845,978.00","91,210.00"
1AG,Alterra Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , , , ,--,--,--,--,--,--,--,--
1AG,Alterra Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , , , ,--,"-14,202.36%",2.40%,12.42%,26.58%,-867.45%,276.59%,-12.62%
1AG,Alterra Limited,Annual Ratio Analysis - ROE, , , , , , , , ,-17.39%,-55.93%,6.40%,10.16%,28.02%,-39.17%,5.08%,-0.69%
1AG,Alterra Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , ,"12,707,500.00","7,475,000.00","3,453,653.96","10,012,970.88","12,695,678.08","2,584,549.70","2,515,967.71","4,403,199.62"
AAX,Ausenco Limited,Annual Balance Sheet - Total Equity, , , , , ,"19,332,000.00","31,023,000.00","55,988,000.00","181,920,000.00","259,724,000.00","233,897,000.00","252,798,000.00","274,188,000.00","258,461,000.00","226,773,000.00","149,818,000.00"
AAX,Ausenco Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , ,--,"144,166,000.00","360,372,000.00","620,400,000.00","438,297,000.00","510,487,000.00","548,027,000.00","633,229,000.00","458,834,000.00","363,007,000.00","252,772,000.00"
AAX,Ausenco Limited,Annual Profit and Loss - EBITDA, , , , , ,0.00,"20,013,000.00","51,890,000.00","86,262,000.00","41,166,000.00","-4,267,000.00","46,892,000.00","67,987,000.00","-21,786,000.00","1,421,000.00","-26,078,000.00"
AAX,Ausenco Limited,Annual Profit and Loss - EBIT, , , , , ,0.00,"17,781,000.00","48,788,000.00","76,412,000.00","28,322,000.00","-15,956,000.00","37,735,000.00","57,791,000.00","-37,530,000.00","-8,379,000.00","-36,223,000.00"
AAX,Ausenco Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , ,0.00,"13,421,000.00","41,502,000.00","56,269,000.00","20,142,000.00","-10,652,000.00","26,354,000.00","41,395,000.00","-35,200,000.00","-25,015,000.00","-86,055,000.00"
AAX,Ausenco Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , ,--,--,--,--,--,--,--,--,--,--,--
AAX,Ausenco Limited,Annual Ratio Analysis - Net Profit Margin, , , , , ,--,9.31%,11.73%,9.57%,6.30%,-2.09%,4.81%,6.55%,-7.86%,-2.30%,-20.13%
AAX,Ausenco Limited,Annual Ratio Analysis - ROE, , , , , ,0.00%,43.26%,74.13%,31.81%,10.41%,-4.55%,10.42%,15.10%,-13.77%,-3.62%,-32.99%
AAX,Ausenco Limited,Annual Ratio Analysis - Market Cap.($), , , , , ,0.00,"285,186,000.00","1,256,537,889.14","200,709,251.40","555,690,528.48","377,076,934.08","304,449,342.21","393,973,124.93","106,123,373.37","71,591,164.58","40,976,734.92"
ADQ,ADG Global Supply Limited,Annual Balance Sheet - Total Equity,"13,696,011.00","15,010,807.00","11,468,135.00","12,294,170.00","13,633,156.00","15,726,976.00","11,347,471.00","-2,068,158.00","14,527,159.00","8,161,213.00","9,707,072.00","16,180,607.00","18,315,000.00","20,447,000.00","2,830,000.00","-8,174,000.00"
ADQ,ADG Global Supply Limited,Annual Profit and Loss - Total Revenue Excluding Int,"55,051,603.00","55,322,447.00","49,865,137.00","46,858,428.00","40,456,610.00","40,869,377.00","36,690,079.00","4,432,655.00","18,475,063.00","47,506,389.00","35,885,667.00","52,295,722.00","83,716,000.00","79,384,000.00","37,015,000.00","21,868,000.00"
ADQ,ADG Global Supply Limited,Annual Profit and Loss - EBITDA,"2,867,270.00","3,625,209.00","8,764,664.00","3,212,677.00","2,764,277.00","3,022,806.00","-1,798,420.00","-8,167,408.00","4,764,913.00","427,394.00","-801,706.00","1,760,113.00","3,320,000.00","-495,000.00","-8,568,000.00","155,000.00"
ADQ,ADG Global Supply Limited,Annual Profit and Loss - EBIT,"1,986,484.00","2,666,426.00","2,071,041.00","2,259,127.00","1,744,438.00","2,009,278.00","-2,784,798.00","-8,167,408.00","4,537,837.00","205,478.00","-1,056,023.00","1,475,004.00","3,035,000.00","-1,046,000.00","-8,977,000.00","-17,000.00"
ADQ,ADG Global Supply Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"559,000.00","-1,631,703.00","-3,904,885.00","774,014.00","523,671.00","671,107.00","-3,740,779.00","-16,616,642.00","1,825,351.00","-6,386,700.00","-1,075,036.00","724,608.00","1,752,000.00","-1,031,000.00","-18,009,000.00","-10,640,000.00"
ADQ,ADG Global Supply Limited,Annual Profit and Loss - Total Operating Income (ban,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ADQ,ADG Global Supply Limited,Annual Ratio Analysis - Net Profit Margin,1.20%,3.26%,1.84%,1.68%,1.32%,1.67%,-10.62%,-212.46%,37.38%,-0.26%,-3.00%,1.39%,2.09%,-1.30%,-27.53%,-1.77%
ADQ,ADG Global Supply Limited,Annual Ratio Analysis - ROE,4.08%,11.75%,7.82%,6.30%,3.84%,4.27%,-32.97%,452.61%,31.55%,-1.50%,-11.07%,4.48%,9.57%,-5.04%,-360.11%,4.75%
ADQ,ADG Global Supply Limited,Annual Ratio Analysis - Market Cap.($),"10,045,656.18","4,190,411.61","4,727,874.52","5,726,561.96","6,742,967.62","7,558,694.64","3,153,006.10","4,728,970.84","20,590,528.56","5,147,632.14","6,358,662.48","15,529,458.00","12,770,815.80","5,471,168.14","3,797,474.62","3,481,018.40"
AEI,Aeris Environmental Ltd,Annual Balance Sheet - Total Equity,"2,443,001.00","2,378,977.00","1,782,285.00","6,374,821.00","7,700,500.00","15,181,089.00","6,609,109.00","2,561,000.00","3,041,785.00","696,184.00","-1,120,798.00","-1,570,063.00","-2,168,737.00","-1,040,539.00","-2,103,879.00","6,036,863.00"
AEI,Aeris Environmental Ltd,Annual Profit and Loss - Total Revenue Excluding Int,196.00,--,751.00,"229,767.00","1,711,656.00","518,541.00","1,088,725.00","1,521,534.00","2,292,074.00","2,026,388.00","1,111,797.00","1,126,247.00","939,705.00","989,701.00","522,734.00","806,136.00"
AEI,Aeris Environmental Ltd,Annual Profit and Loss - EBITDA,"-73,121.00","-424,608.00","-637,069.00","-887,615.00","-343,807.00","-2,411,748.00","-3,655,985.00","-4,059,571.00","-3,634,002.00","-2,749,416.00","-1,869,695.00","-1,920,236.00","-994,506.00","-1,072,192.00","-1,027,577.00","-1,920,098.00"
AEI,Aeris Environmental Ltd,Annual Profit and Loss - EBIT,"-73,121.00","-464,224.00","-679,128.00","-902,704.00","-452,196.00","-2,599,394.00","-3,738,570.00","-4,154,490.00","-3,732,297.00","-2,850,976.00","-1,932,939.00","-1,947,897.00","-1,010,378.00","-1,085,027.00","-1,032,398.00","-1,927,907.00"
AEI,Aeris Environmental Ltd,Annual Profit and Loss - Reported NPAT After Abnorma,"-73,121.00","-375,045.00","-596,692.00","-825,333.00","-289,973.00","-2,486,338.00","-3,525,800.00","-4,091,716.00","-3,652,912.00","-2,579,184.00","-2,065,853.00","-2,140,916.00","-1,297,924.00","-1,132,159.00","-1,067,893.00","-2,016,912.00"
AEI,Aeris Environmental Ltd,Annual Profit and Loss - Total Operating Income (ban,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AEI,Aeris Environmental Ltd,Annual Ratio Analysis - Net Profit Margin,"-37,306.63%",--,--,-359.20%,-17.08%,"-1,158.80%",-451.91%,-288.66%,-168.42%,-127.43%,-201.41%,-226.87%,-154.31%,-215.75%,-219.23%,-250.13%
AEI,Aeris Environmental Ltd,Annual Ratio Analysis - ROE,-2.99%,-15.76%,-33.48%,-12.95%,-3.77%,-16.38%,-53.35%,-155.75%,-99.90%,-166.14%,661.18%,136.94%,53.87%,113.85%,50.76%,-33.18%
AEI,Aeris Environmental Ltd,Annual Ratio Analysis - Market Cap.($),0.00,"2,392,000.80","4,186,001.40","8,809,501.05","63,862,784.55","36,403,290.63","45,071,545.46","42,008,430.72","19,021,312.24","15,607,230.56","5,882,140.86","18,858,601.62","17,056,636.80","24,138,074.32","10,597,203.36","66,628,637.68"
AFT,AFT Corporation Limited,Annual Balance Sheet - Total Equity,"49,591,218.00","8,109,821.00","1,080,973.00","8,572,441.00","7,363,600.00","8,796,822.00","4,791,898.00","1,015,887.00","2,380,337.00","2,084,944.00","3,149,548.00","4,130,565.00","3,071,282.00","1,732,574.00","1,006,137.00","570,671.00"
AFT,AFT Corporation Limited,Annual Profit and Loss - Total Revenue Excluding Int,"23,522,413.00","18,243,867.00","1,380,813.00","1,751,809.00","729,472.00","118,740.00",--,"656,424.00","144,972.00","7,355,733.00","14,154,957.00","17,434,787.00","6,327,142.00","3,823,249.00","2,743,310.00","1,331,114.00"
AFT,AFT Corporation Limited,Annual Profit and Loss - EBITDA,"-6,963,184.00","-10,288,684.00","-4,785,101.00","-3,017,095.00","-854,141.00","-814,940.00","-1,385,760.00","-5,798,117.00","-1,637,144.00","-432,298.00","969,672.00","921,242.00","-1,209,500.00","-1,431,383.00","-1,715,839.00","-1,423,444.00"
AFT,AFT Corporation Limited,Annual Profit and Loss - EBIT,"-9,494,973.00","-11,513,217.00","-5,292,872.00","-4,087,671.00","-1,913,674.00","-1,964,460.00","-1,390,592.00","-5,829,384.00","-1,679,782.00","-449,330.00","951,551.00","901,080.00","-1,230,556.00","-1,449,724.00","-1,732,988.00","-1,438,955.00"
AFT,AFT Corporation Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-16,979,800.00","-43,770,021.00","-4,985,752.00","-4,032,102.00","-1,859,346.00","-1,912,000.00","-4,960,466.00","-5,811,539.00","-1,121,403.00","-418,677.00","1,004,324.00","970,855.00","-1,128,537.00","-1,390,848.00","-1,751,177.00","-1,438,879.00"
AFT,AFT Corporation Limited,Annual Profit and Loss - Total Operating Income (ban,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AFT,AFT Corporation Limited,Annual Ratio Analysis - Net Profit Margin,-32.92%,-57.99%,-546.28%,-921.25%,-133.27%,"-2,433.20%",--,-885.33%,--,-5.69%,7.10%,5.60%,-18.80%,-39.52%,-64.31%,-107.85%
AFT,AFT Corporation Limited,Annual Ratio Analysis - ROE,-15.82%,-163.27%,-526.85%,-35.77%,-14.26%,-32.84%,-27.84%,-572.07%,-64.24%,-20.08%,31.89%,23.50%,-36.74%,-80.94%,-164.48%,-190.56%
AFT,AFT Corporation Limited,Annual Ratio Analysis - Market Cap.($),"26,744,594.12","5,331,233.76","4,761,769.20","42,128,178.97","10,651,072.69","16,893,454.48","10,227,799.69","5,275,450.22","6,195,194.70","6,148,528.01","12,297,056.02","6,148,528.01","6,148,528.01","6,148,528.01","7,508,528.01","8,508,528.01"
AIA,Auckland International Airport Limited,Annual Balance Sheet - Total Equity,"321,713,179.00","430,549,976.00","632,688,785.00","477,789,418.00","531,417,502.00","419,500,320.00","1,525,702,771.00","1,754,622,222.00","1,504,189,864.00","1,481,450,756.00","1,554,788,755.00","1,904,988,033.00","1,936,236,003.00","2,105,557,240.00","2,712,512,777.00","2,694,262,440.00"
AIA,Auckland International Airport Limited,Annual Profit and Loss - Total Revenue Excluding Int,"136,362,907.00","150,934,959.00","173,793,848.00","204,912,694.00","218,009,006.00","259,082,240.00","251,087,260.00","291,038,548.00","393,185,819.00","317,879,787.00","326,585,147.00","323,587,585.00","334,032,573.00","394,849,633.00","483,674,379.00","497,963,520.00"
AIA,Auckland International Airport Limited,Annual Profit and Loss - EBITDA,"79,631,968.00","110,877,570.00","131,475,721.00","152,274,314.00","185,697,954.00","202,965,068.00","197,091,866.00","219,249,886.00","221,592,513.00","223,163,018.00","292,131,946.00","219,679,610.00","253,608,957.00","283,070,507.00","336,269,863.00","343,013,989.00"
AIA,Auckland International Airport Limited,Annual Profit and Loss - EBIT,"60,656,562.00","86,383,707.00","104,000,345.00","125,564,868.00","156,995,128.00","173,722,380.00","165,390,245.00","180,141,496.00","184,338,964.00","179,096,395.00","246,847,578.00","175,795,568.00","203,117,218.00","230,797,742.00","277,222,377.00","285,638,392.00"
AIA,Auckland International Airport Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"32,647,118.00","47,228,598.00","61,922,412.00","72,901,169.00","85,975,387.00","96,856,147.00","84,838,391.00","83,429,478.00","89,586,009.00","33,573,382.00","24,125,771.00","77,789,701.00","111,411,792.00","149,917,445.00","200,614,255.00","197,892,686.00"
AIA,Auckland International Airport Limited,Annual Profit and Loss - Total Operating Income (ban,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
