ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1PG,1-Page Limited,Annual Balance Sheet - Total Equity, , , , , , ,"3,716,624.00","3,432,278.00","4,287,461.00","2,461,298.00","2,144,191.00","-928,409.00","-1,276,007.00","-9,102.00","1,210,306.00","13,264,168.00"
1PG,1-Page Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , ,--,"43,703.00",--,--,--,--,"32,000.00","2,423,260.00",--,"299,922.00"
1PG,1-Page Limited,Annual Profit and Loss - EBITDA, , , , , , ,"-326,744.00","-540,083.00","-1,146,284.00","-1,740,697.00","-258,316.00","-2,932,406.00","-187,799.00","1,357,534.00","-449,441.00","-11,224,340.00"
1PG,1-Page Limited,Annual Profit and Loss - EBIT, , , , , , ,"-334,940.00","-559,474.00","-1,179,386.00","-1,781,576.00","-280,309.00","-2,950,898.00","-194,441.00","1,356,462.00","-449,580.00","-11,226,712.00"
1PG,1-Page Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , ,"-268,273.00","-382,966.00","-1,068,744.00","-1,793,886.00","-317,107.00","-3,072,600.00","-347,598.00","1,191,905.00","-346,932.00","-11,276,727.00"
1PG,1-Page Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , ,--,--,--,--,--,--,--,--,--,--
1PG,1-Page Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , ,--,--,--,--,--,--,"-1,086.24%","5,959,525.00%",--,"-8,606.72%"
1PG,1-Page Limited,Annual Ratio Analysis - ROE, , , , , , ,-7.22%,-11.16%,-24.93%,-72.88%,-25.35%,330.95%,27.24%,"-13,094.98%",-28.66%,-84.49%
1PG,1-Page Limited,Annual Ratio Analysis - Market Cap.($), , , , , , ,"3,031,070.00","9,670,920.00","11,615,115.00","2,525,025.00","2,272,522.50","1,767,517.50","2,171,521.50","1,914,016.50","1,366,002.00","126,664,796.46"
4DS,4DS Memory Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , ,"6,738,505.00","5,273,507.00","3,932,740.00","3,644,696.00","3,721,276.00","1,479,720.00"
4DS,4DS Memory Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , ,--,"19,407.00","8,654.00",--,"37,446.00","4,424.00"
4DS,4DS Memory Limited,Annual Profit and Loss - EBITDA, , , , , , , , , , ,"-124,800.00","-1,717,248.00","-1,465,594.00","-623,210.00","-2,398,409.00","-4,399,487.00"
4DS,4DS Memory Limited,Annual Profit and Loss - EBIT, , , , , , , , , , ,"-124,800.00","-1,722,043.00","-1,481,872.00","-632,694.00","-2,405,064.00","-4,404,145.00"
4DS,4DS Memory Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , ,"-124,800.00","-1,587,680.00","-1,340,767.00","-560,094.00","-2,384,123.00","-4,398,482.00"
4DS,4DS Memory Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , , , , , ,--,--,--,--,--,--
4DS,4DS Memory Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , , , , , ,--,"-8,180.97%",--,--,--,--
4DS,4DS Memory Limited,Annual Ratio Analysis - ROE, , , , , , , , , , ,-1.85%,-40.14%,-34.09%,-15.37%,-64.07%,-297.25%
4DS,4DS Memory Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , ,0.00,"8,200,001.00","3,280,000.40","1,786,000.19","1,410,514.30","6,508,781.56"
