ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1AL,OneAll International Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , ,"21,974,000.00"
1AL,OneAll International Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , ,--
1AL,OneAll International Limited,Annual Profit and Loss - EBITDA, , , , , , , , , , , , , , , ,0.00
1AL,OneAll International Limited,Annual Profit and Loss - EBIT, , , , , , , , , , , , , , , ,0.00
1AL,OneAll International Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , ,0.00
1AL,OneAll International Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , , , , , , , , , , ,--
1AL,OneAll International Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , , , , , , , , , , ,--
1AL,OneAll International Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,0.00%
1AL,OneAll International Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , ,0.00
3PL,3P Learning Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , ,"19,300,000.00","7,264,000.00","33,142,000.00"
3PL,3P Learning Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , ,--,"36,654,000.00","45,318,000.00"
3PL,3P Learning Limited,Annual Profit and Loss - EBITDA, , , , , , , , , , , , , ,0.00,"8,448,000.00","7,446,000.00"
3PL,3P Learning Limited,Annual Profit and Loss - EBIT, , , , , , , , , , , , , ,0.00,"6,501,000.00","4,384,000.00"
3PL,3P Learning Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , ,0.00,"5,107,000.00","4,152,000.00"
3PL,3P Learning Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , , , , , , , , ,--,--,--
3PL,3P Learning Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , , , , , , , , ,--,15.90%,10.78%
3PL,3P Learning Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , ,0.00%,140.78%,12.34%
3PL,3P Learning Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , ,0.00,0.00,"299,288,545.20"
AAD,Ardent Leisure Group,Annual Balance Sheet - Total Equity,"122,066,000.00","97,233,000.00","99,251,000.00","110,694,000.00","159,403,000.00","229,172,000.00","322,532,000.00","490,394,000.00","496,312,000.00","409,918,000.00","423,701,000.00","420,776,000.00","406,655,000.00","487,290,000.00","505,502,000.00","579,482,000.00"
AAD,Ardent Leisure Group,Annual Profit and Loss - Total Revenue Excluding Int,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AAD,Ardent Leisure Group,Annual Profit and Loss - EBITDA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AAD,Ardent Leisure Group,Annual Profit and Loss - EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AAD,Ardent Leisure Group,Annual Profit and Loss - Reported NPAT After Abnorma,"11,626,000.00","-17,204,000.00","10,022,000.00","11,536,000.00","46,012,000.00","25,198,000.00","994,000.00","47,857,000.00","39,449,000.00","-796,000.00","17,837,000.00","35,675,000.00","12,627,000.00","35,617,000.00","49,002,000.00","32,122,000.00"
AAD,Ardent Leisure Group,Annual Profit and Loss - Total Operating Income (ban,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AAD,Ardent Leisure Group,Annual Ratio Analysis - Net Profit Margin,--,--,--,--,63.43%,22.58%,22.36%,20.85%,12.40%,7.48%,10.43%,11.14%,11.46%,11.91%,12.44%,6.51%
AAD,Ardent Leisure Group,Annual Ratio Analysis - ROE,9.52%,9.57%,10.10%,10.42%,28.87%,11.00%,11.79%,9.87%,7.68%,6.33%,8.16%,9.37%,10.36%,10.31%,11.50%,6.27%
AAD,Ardent Leisure Group,Annual Ratio Analysis - Market Cap.($),"109,801,804.23","71,878,323.40","94,806,258.93","112,946,855.58","162,056,417.78","352,708,010.03","457,169,035.00","713,284,591.80","343,933,363.89","341,106,676.44","305,680,624.92","405,638,671.95","426,116,986.28","682,233,837.70","1,097,700,968.68","959,838,970.02"
AAU,Adcorp Australia Limited,Annual Balance Sheet - Total Equity,"14,341,000.00","16,174,000.00","19,886,000.00","23,065,000.00","25,254,000.00","27,052,000.00","24,553,000.00","15,947,000.00","17,236,000.00","15,161,000.00","7,889,000.00","8,382,000.00","8,694,000.00","1,543,000.00","-863,000.00","-784,000.00"
AAU,Adcorp Australia Limited,Annual Profit and Loss - Total Revenue Excluding Int,"114,259,000.00","124,943,000.00","118,815,000.00","155,768,000.00","184,192,000.00","33,844,000.00","32,577,000.00","34,862,000.00","39,312,000.00","66,884,000.00","61,811,000.00","58,448,000.00","28,347,000.00","20,760,000.00","18,463,000.00","18,130,000.00"
AAU,Adcorp Australia Limited,Annual Profit and Loss - EBITDA,"9,732,000.00","9,388,000.00","7,578,000.00","9,436,000.00","9,954,000.00","8,671,000.00","5,483,000.00","-4,988,000.00","7,015,000.00","1,818,000.00","-6,173,000.00","2,767,000.00","2,800,000.00","-5,722,000.00","-1,652,000.00","1,074,000.00"
AAU,Adcorp Australia Limited,Annual Profit and Loss - EBIT,"8,782,000.00","7,197,000.00","5,160,000.00","6,726,000.00","7,222,000.00","6,172,000.00","4,522,000.00","-6,071,000.00","6,003,000.00","596,000.00","-7,192,000.00","2,032,000.00","1,908,000.00","-7,000,000.00","-2,823,000.00","213,000.00"
