ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
3DP,Pointerra Limited,Annual Balance Sheet - Total Equity, , , , , , , ,"25,685,351.00","22,715,043.00","-5,999,861.00","1,686,638.00","908,860.00","801,168.00","517,204.00","1,656,055.00","-405,800.00"
3DP,Pointerra Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , ,--,"5,222,464.00",--,"7,184,480.00","1,538.00",--,"114,078.00",--,"158,302.00"
3DP,Pointerra Limited,Annual Profit and Loss - EBITDA, , , , , , , ,0.00,"1,993,197.00","-27,636,140.00","-1,080,003.00","-784,014.00","-415,894.00","-421,152.00","-982,672.00","-666,644.00"
3DP,Pointerra Limited,Annual Profit and Loss - EBIT, , , , , , , ,0.00,"-140,612.00","-27,661,140.00","-1,105,003.00","-809,014.00","-441,188.00","-489,862.00","-1,053,882.00","-737,980.00"
3DP,Pointerra Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , ,0.00,"-1,098,434.00","-28,967,986.00","5,524,380.00","-777,778.00","-424,437.00","-486,680.00","-996,620.00","-2,437,947.00"
3DP,Pointerra Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , , ,--,--,--,--,--,--,--,--,--
3DP,Pointerra Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , , ,--,-320.90%,--,--,--,--,--,--,-466.18%
3DP,Pointerra Limited,Annual Ratio Analysis - ROE, , , , , , , ,0.00%,-4.84%,482.81%,-98.43%,-85.58%,-52.98%,-94.10%,-60.18%,181.86%
3DP,Pointerra Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , ,0.00,"28,506,716.55","4,926,043.87","3,679,128.87","4,047,041.76","1,306,238.66","543,412.90","5,307,583.30","1,983,579.69"
A2M,The a2 Milk Company Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , , ,"51,911,634.00"
A2M,The a2 Milk Company Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , , ,"137,337,524.00"
A2M,The a2 Milk Company Limited,Annual Profit and Loss - EBITDA, , , , , , , , , , , , , , , ,"2,842,217.00"
A2M,The a2 Milk Company Limited,Annual Profit and Loss - EBIT, , , , , , , , , , , , , , , ,"1,116,522.00"
A2M,The a2 Milk Company Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , , ,"-1,851,425.00"
A2M,The a2 Milk Company Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , , , , , , , , , , ,--
A2M,The a2 Milk Company Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , , , , , , , , , , ,-1.35%
A2M,The a2 Milk Company Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , , ,-3.57%
A2M,The a2 Milk Company Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , , ,"422,442,866.56"
AAC,Australian Agricultural Company Limited,Annual Balance Sheet - Total Equity,--,"133,724,000.00","192,885,000.00","307,094,000.00","415,781,000.00","558,678,000.00","582,368,000.00","725,564,000.00","705,255,000.00","645,109,000.00","592,634,000.00","671,987,000.00","638,639,000.00","595,418,000.00","747,780,000.00","762,298,000.00"
AAC,Australian Agricultural Company Limited,Annual Profit and Loss - Total Revenue Excluding Int,"88,379,000.00","81,928,000.00","93,193,000.00","76,245,000.00","79,543,000.00","183,239,000.00","199,991,000.00","249,189,000.00","235,072,000.00","156,561,000.00","266,898,000.00","556,278,000.00","489,759,000.00","34,156,000.00","438,684,000.00","560,182,000.00"
AAC,Australian Agricultural Company Limited,Annual Profit and Loss - EBITDA,"4,290,000.00","3,906,000.00","36,405,000.00","36,751,000.00","17,798,000.00","46,532,000.00","31,845,000.00","40,814,000.00","-9,546,000.00","-48,596,000.00","31,540,000.00","59,942,000.00","30,495,000.00","-64,582,000.00","-24,798,000.00","48,213,000.00"
AAC,Australian Agricultural Company Limited,Annual Profit and Loss - EBIT,0.00,0.00,"32,325,000.00","31,265,000.00","14,092,000.00","38,721,000.00","21,745,000.00","30,419,000.00","-21,161,000.00","-62,268,000.00","23,158,000.00","51,764,000.00","21,090,000.00","-67,310,000.00","-36,008,000.00","32,503,000.00"
AAC,Australian Agricultural Company Limited,Annual Profit and Loss - Reported NPAT After Abnorma,0.00,0.00,"20,325,000.00","17,368,000.00","6,151,000.00","16,785,000.00","10,035,000.00","3,586,000.00","-38,716,000.00","-53,737,000.00","904,000.00","10,525,000.00","-8,409,000.00","-46,477,000.00","-39,898,000.00","9,623,000.00"
AAC,Australian Agricultural Company Limited,Annual Profit and Loss - Total Operating Income (ban,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
AAC,Australian Agricultural Company Limited,Annual Ratio Analysis - Net Profit Margin,0.00%,0.00%,22.28%,24.33%,38.71%,38.31%,12.99%,3.48%,-18.19%,-47.50%,-0.80%,4.15%,-0.50%,-74.78%,-12.38%,2.77%
AAC,Australian Agricultural Company Limited,Annual Ratio Analysis - ROE,--,0.00%,10.70%,5.95%,2.98%,3.00%,1.74%,0.50%,-5.49%,-9.86%,-0.35%,2.34%,-0.25%,-31.22%,-5.34%,1.26%
AAC,Australian Agricultural Company Limited,Annual Ratio Analysis - Market Cap.($),0.00,0.00,"123,958,040.00","211,935,560.40","322,165,388.86","387,930,639.72","461,078,937.30","821,373,385.60","495,495,860.62","395,075,366.20","376,576,854.08","416,105,309.55","366,098,949.45","403,647,559.65","665,368,005.00","855,183,677.20"
AAP,Australian Agricultural Projects Limited,Annual Balance Sheet - Total Equity,"349,129,000.00", , , ,"1,298,344.00","505,827.00","2,485,270.00","2,045,985.00","8,072,565.00","8,133,284.00","8,711,102.00","8,765,488.00","3,135,030.00","4,951,425.00","4,491,418.00","5,059,698.00"
AAP,Australian Agricultural Projects Limited,Annual Profit and Loss - Total Revenue Excluding Int,"1,006,045,000.00", , , ,"290,051.00","2,015,418.00","4,081,390.00","9,896,396.00","12,159,411.00","16,967,062.00","17,047,790.00","17,882,030.00","17,258,840.00","3,304,676.00","2,808,145.00","3,469,505.00"
AAP,Australian Agricultural Projects Limited,Annual Profit and Loss - EBITDA,"80,110,000.00", , , ,"-1,386,872.00","-2,105,294.00","-2,647,940.00","-4,519,606.00","-3,387,424.00","1,553,111.00","2,028,001.00","1,005,778.00","-3,959,809.00","753,062.00","502,099.00","1,237,107.00"
AAP,Australian Agricultural Projects Limited,Annual Profit and Loss - EBIT,"34,902,000.00", , , ,"-1,396,311.00","-2,170,612.00","-2,647,940.00","-4,649,301.00","-3,815,543.00","965,417.00","1,450,018.00","427,395.00","-4,547,701.00","329,482.00","218,129.00","953,167.00"
AAP,Australian Agricultural Projects Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"38,238,000.00", , , ,"-1,355,382.00","-2,192,517.00","-2,675,732.00","-4,733,843.00","-4,423,980.00","63,425.00","609,611.00","102,418.00","-5,636,661.00","1,924,789.00","-459,963.00","568,280.00"
AAP,Australian Agricultural Projects Limited,Annual Profit and Loss - Total Operating Income (ban,--, , , ,--,--,--,--,--,--,--,--,--,--,--,--
AAP,Australian Agricultural Projects Limited,Annual Ratio Analysis - Net Profit Margin,1.67%, , , ,-474.76%,-113.39%,-67.31%,-47.83%,-52.29%,0.51%,4.43%,0.57%,-34.98%,-28.16%,-9.94%,20.15%
AAP,Australian Agricultural Projects Limited,Annual Ratio Analysis - ROE,4.51%, , , ,-108.54%,-440.39%,-114.77%,-242.22%,-54.80%,0.78%,7.00%,1.17%,-179.80%,-18.59%,-4.28%,11.23%
