ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AYS,Amaysim Australia Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , , , , ,"-6,800,000.00", 
AYS,Amaysim Australia Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , , , , ,--, 
AYS,Amaysim Australia Limited,Annual Profit and Loss - EBITDA, , , , , , , , , , , , , , ,0.00, 
AYS,Amaysim Australia Limited,Annual Profit and Loss - EBIT, , , , , , , , , , , , , , ,0.00, 
AYS,Amaysim Australia Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , , , , ,0.00, 
AYS,Amaysim Australia Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , , , , , , , , , ,--, 
AYS,Amaysim Australia Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , , , , , , , , , ,--, 
AYS,Amaysim Australia Limited,Annual Ratio Analysis - ROE, , , , , , , , , , , , , , ,0.00%, 
AYS,Amaysim Australia Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , , , , , , , , ,0.00, 
BGL,Bigair Group Limited,Annual Balance Sheet - Total Equity, , , , , ,"11,676,000.00","8,086,812.00","6,547,213.00","4,193,649.00","5,242,107.00","7,277,456.00","20,546,498.00","29,137,394.00","33,114,961.00","42,280,317.00","46,003,317.00"
BGL,Bigair Group Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , ,--,"6,889,858.00","9,103,496.00","8,262,432.00","6,464,632.00","7,650,907.00","15,529,614.00","22,906,996.00","30,177,352.00","42,163,325.00","63,475,859.00"
BGL,Bigair Group Limited,Annual Profit and Loss - EBITDA, , , , , ,0.00,"-1,066,999.00","-1,313,802.00","-1,668,044.00","2,136,316.00","3,272,437.00","4,774,621.00","9,750,961.00","11,737,036.00","15,103,764.00","18,393,603.00"
BGL,Bigair Group Limited,Annual Profit and Loss - EBIT, , , , , ,0.00,"-1,933,964.00","-2,656,836.00","-2,675,896.00","1,188,789.00","2,187,083.00","2,243,904.00","5,950,531.00","7,026,059.00","9,167,900.00","11,879,170.00"
BGL,Bigair Group Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , ,0.00,"-1,333,144.00","-1,943,147.00","-2,353,564.00","1,013,658.00","1,531,633.00","1,535,479.00","4,225,483.00","4,751,323.00","5,342,983.00","4,845,605.00"
BGL,Bigair Group Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , ,--,--,--,--,--,--,--,--,--,--,--
BGL,Bigair Group Limited,Annual Ratio Analysis - Net Profit Margin, , , , , ,--,-19.35%,-21.35%,-51.21%,15.68%,20.02%,9.89%,18.63%,15.88%,13.87%,12.52%
BGL,Bigair Group Limited,Annual Ratio Analysis - ROE, , , , , ,0.00%,-16.49%,-29.68%,-56.12%,19.34%,21.05%,7.47%,14.65%,14.35%,13.70%,17.04%
BGL,Bigair Group Limited,Annual Ratio Analysis - Market Cap.($), , , , , ,0.00,"12,528,300.00","7,420,485.40","2,761,110.85","5,226,845.46","16,593,489.53","46,739,612.64","60,883,972.88","98,382,633.00","157,313,829.40","107,518,259.37"
BRO,Broad Investments Limited,Annual Balance Sheet - Total Equity,"2,540,940.00","684,412.00","870,036.00","16,895.00","-373,044.00","-1,154,218.00","-410,008.00","5,011,969.00","5,059,534.00","1,691,811.00","1,983,551.00","1,213,718.00","154,201.00","-561,102.00","-636,481.00","338,342.00"
BRO,Broad Investments Limited,Annual Profit and Loss - Total Revenue Excluding Int,"11,493,339.00","14,313,282.00","3,788,798.00","4,667,815.00","8,503,791.00","4,344,737.00","1,456,271.00","148,077.00","2,206,906.00","6,763,502.00","4,580,031.00","2,617,480.00","2,672,771.00","3,130,078.00","3,804,988.00","9,613,430.00"
BRO,Broad Investments Limited,Annual Profit and Loss - EBITDA,"-864,439.00","-2,007,011.00","-1,419,957.00","-1,352,391.00","-1,436,235.00","-826,447.00","-3,121,813.00","-1,895,419.00","-4,374,541.00","-2,850,274.00","38,457.00","-260,995.00","-883,673.00","-353,679.00","85,819.00","-1,002,285.00"
BRO,Broad Investments Limited,Annual Profit and Loss - EBIT,"-1,233,194.00","-2,352,489.00","-1,472,130.00","-1,424,550.00","-1,464,531.00","-829,022.00","-3,127,547.00","-1,917,024.00","-4,457,253.00","-3,186,481.00","-230,247.00","-514,745.00","-1,147,253.00","-673,592.00","79,754.00","-1,016,291.00"
BRO,Broad Investments Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-1,168,846.00","-1,856,528.00","-1,012,026.00","-1,419,123.00","-1,459,515.00","-835,007.00","-3,119,238.00","-1,790,325.00","-4,265,757.00","-5,600,804.00","-252,258.00","-531,356.00","-1,152,220.00","-1,341,133.00","45,020.00","355,998.00"
BRO,Broad Investments Limited,Annual Profit and Loss - Total Operating Income (ban,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BRO,Broad Investments Limited,Annual Ratio Analysis - Net Profit Margin,-10.17%,-19.22%,-59.13%,-29.58%,-17.79%,-19.45%,"-1,489.44%","-1,300.59%",-193.27%,-47.00%,-4.44%,-18.17%,-45.71%,-24.97%,1.18%,-13.61%
BRO,Broad Investments Limited,Annual Ratio Analysis - ROE,-46.00%,-349.99%,-168.04%,"-8,399.66%",391.24%,72.34%,760.77%,-38.43%,-84.30%,-187.89%,-10.25%,-36.97%,-747.22%,134.66%,-7.07%,-311.25%
BRO,Broad Investments Limited,Annual Ratio Analysis - Market Cap.($),"6,307,718.02","1,627,798.20","11,943,245.05","2,049,679.28","1,630,565.58","1,120,214.60","14,046,037.59","20,210,695.17","6,365,654.03","991,565.81","1,105,056.07","1,105,056.07","1,275,056.07","853,153.03","1,706,306.07","1,628,889.94"
CNU,Chorus Limited,Annual Balance Sheet - Total Equity, , , , , , , , , , , ,"325,793,252.00","412,653,668.00","525,650,745.00","679,304,897.00","725,163,803.00"
CNU,Chorus Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , , , , , ,--,"479,993,735.00","890,405,189.00","983,180,001.00","890,738,445.00"
CNU,Chorus Limited,Annual Profit and Loss - EBITDA, , , , , , , , , , , ,0.00,"303,813,327.00","559,346,306.00","596,598,829.00","582,610,235.00"
CNU,Chorus Limited,Annual Profit and Loss - EBIT, , , , , , , , , , , ,0.00,"155,821,783.00","290,624,210.00","297,370,132.00","295,732,247.00"
CNU,Chorus Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , , , , , ,0.00,"79,868,451.00","144,048,521.00","137,533,686.00","80,573,755.00"
