ASX Code,Company Name,Item,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
88E,88 Energy Limited,Annual Balance Sheet - Total Equity,"4,515,927.00","4,409,005.00","-3,383,238.00","-4,059,282.00","-4,265,290.00","1,663,303.00","2,237,711.00","3,574,270.00","2,474,328.00","1,609,338.00","3,573,931.00","4,942,910.00","16,186,451.00","16,653,363.00","1,348,572.00","21,488,053.00"
88E,88 Energy Limited,Annual Profit and Loss - Total Revenue Excluding Int,"1,818,563.00","1,716,160.00","2,130,653.00",--,--,"4,195,887.00",--,--,--,--,"4,545.00",--,--,"436,606.00",--,"94,356.00"
88E,88 Energy Limited,Annual Profit and Loss - EBITDA,"-5,368,338.00","-3,949,817.00","-4,379,571.00","-619,607.00","-206,008.00","3,742,854.00","-387,863.00","-1,080,202.00","-2,152,304.00","-930,597.00","-1,802,528.00","-2,624,243.00","-4,781,016.00","-6,935,151.00","-27,863,210.00","-6,304,168.00"
88E,88 Energy Limited,Annual Profit and Loss - EBIT,"-7,010,335.00","-5,584,746.00","-4,769,280.00","-682,059.00","-206,008.00","3,742,854.00","-387,863.00","-1,080,202.00","-2,154,433.00","-936,294.00","-1,823,607.00","-2,658,744.00","-4,816,783.00","-6,960,084.00","-27,888,864.00","-6,319,206.00"
88E,88 Energy Limited,Annual Profit and Loss - Reported NPAT After Abnorma,"-10,776,000.00","-6,818,541.00","-8,910,211.00","-676,044.00","-206,008.00","3,780,510.00","-306,808.00","-941,602.00","-1,972,792.00","-864,990.00","-1,731,782.00","-2,564,440.00","-4,771,796.00","-6,891,580.00","-27,713,105.00","-6,304,712.00"
88E,88 Energy Limited,Annual Profit and Loss - Total Operating Income (ban,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
88E,88 Energy Limited,Annual Ratio Analysis - Net Profit Margin,-451.26%,-398.08%,-454.54%,--,--,--,--,--,--,--,--,--,--,--,--,--
88E,88 Energy Limited,Annual Ratio Analysis - ROE,-199.53%,-124.33%,142.67%,16.65%,4.83%,227.29%,-13.71%,-26.34%,-79.73%,-53.75%,-48.46%,-51.88%,-29.48%,-41.38%,"-2,055.00%",-29.34%
88E,88 Energy Limited,Annual Ratio Analysis - Market Cap.($),"9,756,424.92","9,937,974.98","404,064.20","242,438.52","242,438.52","8,156,532.92","13,703,151.55","10,333,497.13","926,160.22","2,137,292.82","20,482,148.50","52,645,946.40","39,128,872.80","41,026,116.70","4,517,367.23","24,657,122.26"
AAL,APAC Coal Limited,Annual Balance Sheet - Total Equity, , , , , , , ,"220,607.00", ,"4,492,008.00","3,674,827.00","3,083,945.00","2,852,581.00","2,462,060.00","2,118,380.00","1,657,576.00"
AAL,APAC Coal Limited,Annual Profit and Loss - Total Revenue Excluding Int, , , , , , , ,--, ,--,"10,937.00",--,"247,962.00",--,"886,389.00","168,830.00"
AAL,APAC Coal Limited,Annual Profit and Loss - EBITDA, , , , , , , ,0.00, ,"-2,161,799.00","-911,529.00","-1,013,138.00","-505,355.00","-477,118.00","-986,315.00","-307,204.00"
AAL,APAC Coal Limited,Annual Profit and Loss - EBIT, , , , , , , ,0.00, ,"-2,174,497.00","-923,418.00","-1,024,883.00","-512,675.00","-479,484.00","-987,499.00","-307,588.00"
AAL,APAC Coal Limited,Annual Profit and Loss - Reported NPAT After Abnorma, , , , , , , ,0.00, ,"-1,873,361.00","-733,261.00","-796,954.00","-311,413.00","-278,635.00","-786,819.00","-221,286.00"
AAL,APAC Coal Limited,Annual Profit and Loss - Total Operating Income (ban, , , , , , , ,--, ,--,--,--,--,--,--,--
AAL,APAC Coal Limited,Annual Ratio Analysis - Net Profit Margin, , , , , , , ,--, ,--,"-6,704.41%",--,--,--,--,--
AAL,APAC Coal Limited,Annual Ratio Analysis - ROE, , , , , , , ,0.00%, ,-27.80%,-19.95%,-25.84%,-10.92%,-11.32%,-37.14%,-13.35%
AAL,APAC Coal Limited,Annual Ratio Analysis - Market Cap.($), , , , , , , ,0.00, ,"12,984,693.12","8,739,697.30","2,247,350.73","1,498,233.82","998,822.55","749,116.91","749,116.91"
ABL,Abilene Oil and Gas Limited,Annual Balance Sheet - Total Equity,"793,382.00","645,548.00","430,046.00","376,567.00","309,703.00","187,285.00","94,429.00","1,701,732.00","18,531,686.00","12,899,577.00","12,781,819.00","11,587,318.00","12,611,028.00","4,984,220.00","5,239,254.00","4,794,239.00"
ABL,Abilene Oil and Gas Limited,Annual Profit and Loss - Total Revenue Excluding Int,--,--,--,--,"1,842.00",--,--,555.00,--,"59,315.00","5,446.00","255,644.00","699,361.00","349,714.00","341,713.00","477,608.00"
